Name,Team,Position,Status,Age,PitchingTeamId,OriginalSalary,AdjustedSalary,AuctionSalary,W,QS,ERA,WHIP,G,SV,HLD,SVH,IP,SO,K/9,BB/9,BABIP,FIP
Valente Bellozo,MIA,SP,FA,25,,-25.36402665,-31.21881274,,2,2,4.86016,1.40709,27,0,1,1,57,41,6.51929,2.95594,0.293868,4.97903
Cody Bradford,TEX,SP,FA,27,,-8.527146384,-10.64288556,,5,4,4.20318,1.18951,47,0,1,1,88,79,8.04614,1.96523,0.285499,4.09423
Yariel Rodriguez,TOR,SP,FA,27,,-9.359370778,-11.65992603,,6,5,3.98691,1.29298,59,0,1,1,100,105,9.44087,3.792,0.285718,4.04049
Mitch Spence,ATH,P,FA,26,,-22.36284681,-27.55114647,,6,8,4.35933,1.33182,31,0,1,1,120,94,7.05783,2.72773,0.29552,4.37281
Ben Lively,CLE,SP,FA,33,,-28.71699157,-35.31638669,,8,11,4.51762,1.36905,24,0,0,0,131,103,7.05548,2.91781,0.295018,4.63063
Jhoan Duran,MIN,RP,FA,27,,23.44827774,28.43347465,,7,0,2.5771,1.09615,65,22,5,27,65,81,11.2114,2.80762,0.300918,2.57809
Yennier Cano,BAL,RP,FA,30,,-0.159992298,-0.417597361,,4,0,3.33717,1.24117,61,1,12,13,61,60,8.81826,3.07238,0.297794,3.42047
Sean Burke,CHW,SP,FA,25,,-30.40108216,-37.37447137,,6,9,4.66983,1.41209,31,0,1,1,118,111,8.5174,4.12918,0.289519,4.7096
Grant Holmes,ATL,SP,FA,28,,-11.78968774,-14.62995516,,6,7,3.99365,1.2931,45,0,1,1,114,110,8.65092,2.93961,0.299974,3.88276
Jose Soriano,LAA,SP,FA,26,,-13.87605751,-17.17965509,,9,14,3.97504,1.33194,26,0,0,0,146,142,8.73672,3.86034,0.295584,4.04356
Tylor Megill,NYM,SP,FA,29,,-8.855931545,-11.04468562,,5,2,3.98983,1.27532,53,0,1,1,81,83,9.26123,3.28803,0.291806,3.95087
Kutter Crawford,BOS,SP,FA,28,,-10.42346925,-12.96033397,,8,7,4.35246,1.23218,53,0,1,1,134,129,8.66512,2.51331,0.290302,4.23024
Justin Martinez,ARI,RP,FA,23,,8.253719153,9.864587422,,5,0,3.10976,1.29747,67,17,9,26,67,84,11.293,4.73139,0.299978,3.17939
Justin Verlander,SF,SP,FA,42,,-14.86606455,-18.38951774,,8,12,4.18403,1.275,24,0,0,0,138,111,7.20782,2.45247,0.289811,4.23376
Yu Darvish,SD,SP,FA,38,,-0.595465235,-0.949777867,,11,15,4.09954,1.19307,29,0,0,0,164,156,8.52301,2.4603,0.283192,4.1253
Andres Munoz,SEA,RP,FA,26,,22.37885316,27.12655782,,6,0,2.72692,1.10194,64,26,4,30,64,85,11.9369,3.45391,0.287036,2.82433
Simeon Woods-Richardson,MIN,SP,FA,24,,1,1,,6,12,4.54405,1.37768,26,0,0,0,130,111,7.69275,3.42852,0.292851,4.50725
Hunter Gaddis,CLE,RP,FA,26,,-3.382092637,-4.355245006,,4,0,4.02699,1.23285,65,0,17,17,65,59,8.21339,2.69591,0.283698,4.27953
Bailey Falter,PIT,SP,FA,27,,-25.62660288,-31.53970053,,6,8,4.48684,1.33084,43,0,1,1,124,91,6.64516,2.62266,0.292337,4.52467
Tyler Holton,DET,RP,FA,28,,7.050136478,8.393719358,,4,0,3.40507,1.14221,72,6,13,19,72,64,7.94498,2.30982,0.280716,3.626
Hayden Birdsong,SF,SP,FA,23,,-17.31780446,-21.38572732,,6,8,4.2301,1.34185,40,0,1,1,108,113,9.45061,4.08196,0.290334,4.2414
Luis Ortiz,CLE,SP,FA,26,,1,1,,8,10,4.28669,1.342,38,0,1,1,149,127,7.66501,3.27626,0.289574,4.4814
David Bednar,PIT,RP,FA,30,,5.842302464,6.917655841,,4,0,3.70782,1.2387,64,28,4,32,64,68,9.61742,3.27647,0.293309,3.63834
Michael Lorenzen,KC,RP,FA,33,,-35.9986542,-44.21512313,,7,8,4.55671,1.4025,56,0,1,1,148,114,6.91503,3.67661,0.28982,4.66256
David Peterson,NYM,SP,FA,29,,-11.88399535,-14.74520611,,9,13,3.89705,1.34578,32,0,1,1,147,136,8.36425,3.56253,0.296919,4.01175
Edward Cabrera,MIA,SP,FA,26,,-17.31695891,-21.384694,,7,10,4.16856,1.3523,35,0,1,1,125,133,9.61469,4.25929,0.29321,4.21761
Cal Quantrill,MIA,SP,FA,30,,-42.38598547,-52.02091975,,7,11,4.81357,1.43412,26,0,0,0,143,104,6.53387,3.36028,0.295935,4.85928
Jeremiah Estrada,SD,RP,FA,26,,6.846422498,8.144765636,,4,0,3.25762,1.17668,63,3,14,17,63,85,12.1162,3.89999,0.283467,3.31338
Alec Marsh,KC,SP,FA,26,,-19.48249052,-24.03113561,,7,7,4.47772,1.33274,36,0,1,1,111,106,8.59883,3.30575,0.29552,4.3287
Luis Garcia,HOU,SP,FA,28,,-3.932631434,-5.057492622,3,9,9,4.00505,1.24176,33,0,1,1,121,119,8.88575,2.84378,0.287675,4.04935
Tyler Rogers,SF,RP,FA,34,,-2.868274534,-3.727320848,,4,0,3.74991,1.23034,70,1,14,15,70,50,6.36789,1.83986,0.297164,3.84755
Shinnosuke Ogasawara,WSH,SP,FA,27,,-34.73480256,-42.67060189,,0,4,4.91346,1.41587,46,0,0,0,80,74,8.28321,3.69789,0.280859,4.68661
Matt Strahm,PHI,RP,FA,33,,13.43513052,16.19665971,,5,0,3.26643,1.05447,67,3,12,15,67,79,10.599,2.32541,0.280517,3.37837
Martin Perez,CHW,SP,FA,33,,-38.71551906,-47.53533522,,6,11,4.55557,1.44676,24,0,0,0,136,100,6.64918,3.28327,0.302341,4.62422
Ryne Nelson,ARI,SP,FA,27,,-10.65544946,-13.24383113,,6,4,4.0917,1.26891,55,0,1,1,100,82,7.41401,2.36268,0.29433,4.12462
Max Meyer,MIA,SP,FA,25,,-23.76398086,-29.26343709,,7,11,4.29614,1.35536,34,0,1,1,133,117,7.89286,3.09899,0.30055,4.28165
