Name,W,QS,ERA,G,SV,HLD,SVH,IP,SO,K/9,BB/9,FIP
Victor Vodnik,3,0,4.43689,66,3,11,14,66,63,8.59205,4.3308,
Manuel Rodríguez,4,0,3.81117,61,2,13,15,61,58,8.60935,3.39283,
Forrest Whitley,3,0,3.93863,59,0,11,11,59,62,9.44566,3.94627,
Brady Basso,3,1,3.88516,55,0,5,5,61,56,8.25626,2.43168,
Angel Zerpa,3,0,3.86681,59,0,12,12,59,51,7.74261,3.03727,
John King,3,0,3.65616,59,0,12,12,59,40,6.06374,2.46464,
Mason Adams,1,2,4.76415,5,0,0,0,27,19,6.30003,2.63629,
Danny Coulombe,3,0,3.48479,51,0,4,4,51,52,9.16863,2.74908,
Stephen Kolek,3,1,4.24218,31,0,1,1,47,38,7.28854,3.31602,
Elvis Peguero,4,0,3.85239,56,0,9,9,56,53,8.46349,3.69917,
Chad Green,5,0,3.93837,63,5,12,17,63,60,8.61604,2.7146,
Scott Alexander,3,0,4.11861,56,0,9,9,56,42,6.82595,2.95871,
Bobby Miller,3,1,4.03153,40,0,1,1,47,45,8.75922,3.06208,
Albert Suárez,4,2,4.34476,59,0,5,5,81,70,7.8735,2.7713,
Keider Montero,2,2,4.36162,22,0,1,1,42,36,7.63182,3.10999,
Tayler Scott,4,0,3.93299,65,1,16,17,65,65,9.02956,3.90496,
Carson Whisenhunt,2,1,3.95871,24,0,1,1,37,36,8.7524,3.42011,
Paul Sewald,3,0,3.84622,59,1,12,13,59,66,10.0468,2.96798,
Emilio Pagán,4,0,4.51807,64,3,12,15,64,65,9.17037,2.92029,
Tony Santillan,3,0,4.39047,58,1,11,12,58,66,10.2395,4.1911,
Beau Brieske,3,0,4.01998,66,10,10,20,66,62,8.51668,3.27202,
Jorge López,3,0,4.14315,60,7,12,19,60,53,7.88384,3.25876,
Sam Moll,3,0,4.16511,55,0,10,10,55,55,9.03584,3.81554,
Jalen Beeks,2,0,3.96011,37,0,0,0,37,33,8.05851,3.49129,
Matt Brash,3,0,3.01452,48,0,1,1,48,62,11.614,3.8949,
Ryan Burr,3,0,3.55523,50,0,4,4,50,56,10.0083,3.10023,
Chayce McDermott,2,1,4.11711,31,0,1,1,45,48,9.63642,4.25411,
Carmen Mlodzinski,4,0,4.06686,61,1,12,13,61,54,8.00007,3.53367,
Patrick Sandoval,1,1,3.82197,8,0,1,1,15,14,8.72013,3.55899,
Trent Thornton,3,0,3.73328,67,0,14,14,67,66,8.83941,2.69384,
Evan Phillips,3,0,3.31417,44,0,1,1,44,49,10.0877,2.83146,
Seth Halvorsen,4,0,4.67179,63,9,8,17,63,58,8.26342,3.817,
Richard Fitts,3,1,4.49302,39,0,1,1,53,40,6.78492,2.47731,
Kevin Kelly,3,0,3.63639,53,0,5,5,53,47,8.03268,2.21507,
Michael McGreevy,2,1,3.80887,34,0,1,1,41,30,6.62556,2.13854,
Slade Cecconi,3,1,4.14797,44,0,1,1,51,46,8.18334,2.03266,
Michael Grove,3,0,3.96853,45,0,4,4,45,48,9.50049,2.84826,
Robby Snelling,1,2,4.68386,5,0,0,0,25,18,6.6308,3.53278,
Julian Merryweather,3,0,3.74435,52,0,4,4,52,58,10.052,3.68628,
Tink Hence,1,1,4.26213,3,0,0,0,16,13,7.5136,3.18964,
Anthony Banda,3,0,4.07454,57,0,13,13,57,56,8.83654,3.49948,
Jonathan Loáisiga,4,0,3.44522,40,0,1,1,40,34,7.6788,2.51281,
Landon Knack,3,1,4.24232,42,0,1,1,48,47,8.80478,2.83413,
Joe Ross,3,1,4.37316,56,0,6,6,63,55,7.90631,3.29052,
Tyson Miller,3,0,3.9738,62,1,12,13,62,57,8.24706,2.91941,
Tommy Kahnle,2,0,3.77684,58,2,10,12,58,59,9.20228,3.92719,
Fraser Ellard,3,0,4.28427,62,6,10,16,62,61,8.78894,4.47991,
Tristan Beck,3,1,3.98626,48,0,1,1,55,48,7.7608,2.58582,
Jairo Iriarte,3,3,4.96547,30,0,1,1,66,56,7.694,4.31193,
Ryne Stanek,4,0,3.84101,58,0,12,12,58,66,10.1869,4.11733,
Hurston Waldrep,2,1,4.45813,15,0,1,1,29,26,8.17437,4.0322,
Tyler Kinley,3,0,4.72232,64,18,6,24,64,67,9.41603,3.84983,
John Brebbia,3,0,4.14182,57,0,9,9,57,61,9.70261,2.95326,
Brennan Bernardino,3,0,3.95345,52,0,4,4,52,52,8.97371,3.51163,
Luke Jackson,3,0,3.95825,55,0,10,10,55,58,9.56168,4.02158,
Graham Ashcraft,3,0,4.41093,53,0,4,4,53,44,7.46326,2.65405,
Cooper Criswell,2,1,4.43405,23,0,1,1,30,22,6.83027,2.4537,
Nick Nastrini,3,4,5.33473,23,0,1,1,75,65,7.78801,4.91247,
Daniel Lynch IV,3,1,4.30203,52,0,4,4,59,48,7.2657,2.70062,
Carlos Rodriguez,2,1,4.57156,15,0,1,1,30,27,8.07164,3.49088,
Sean Hjelle,3,0,3.8701,66,0,13,13,66,55,7.50498,2.50262,
Jhony Brito,3,1,4.16891,40,0,1,1,47,36,6.87204,2.72684,
Chase Silseth,3,1,4.17068,48,0,1,1,54,52,8.73761,3.47616,
Scott Barlow,3,0,3.87334,58,0,7,7,58,65,10.1129,3.98,
Erik Sabrowski,5,0,3.72688,57,0,11,11,57,66,10.3756,4.61131,
Chase Petty,1,1,4.94921,18,0,1,1,32,24,6.8733,3.37201,
Bryan King,2,0,3.82517,60,0,12,12,60,60,8.98446,3.83975,
Valente Bellozo,2,2,4.86013,27,0,1,1,57,41,6.51932,2.95595,
Michael Tonkin,3,0,4.18248,63,0,12,12,63,62,8.89156,3.28568,
Joey Wentz,3,0,4.25861,57,1,9,10,57,56,8.89542,3.72415,
Alek Manoah,1,1,4.14214,10,0,1,1,17,16,8.57981,3.28303,
Jacob Waguespack,3,1,4.14614,43,0,1,1,50,48,8.74604,3.48514,
Justin Anderson,3,0,4.38433,63,7,11,18,63,65,9.24361,4.23032,
Erik Swanson,3,0,3.99597,60,0,13,13,60,59,8.84733,3.11732,
Abner Uribe,2,0,3.58771,49,0,1,1,49,58,10.7204,5.12713,
Mason Black,3,1,4.26795,37,0,1,1,50,44,7.98591,3.09947,
Max Lazar,3,0,4.27845,50,0,4,4,50,41,7.36145,2.74339,
Josh Sborz,2,0,3.7868,38,3,1,4,38,42,9.83597,3.52383,
Brooks Raley,1,0,3.93988,26,0,0,0,26,26,9.05339,3.69323,
Jake Bloss,2,2,4.73789,19,0,1,1,37,30,7.31171,3.40606,
Ian Seymour,2,1,4.36912,20,0,1,1,34,31,8.06321,3.10304,
Joely Rodríguez,2,0,4.11984,30,0,0,0,30,26,7.77452,3.45555,
Joe Rock,2,1,4.12617,21,0,1,1,28,23,7.45599,2.62828,
Josh Winckowski,3,0,3.99566,55,0,7,7,55,46,7.601,2.79414,
Cam Booser,3,0,4.32183,60,0,11,11,60,61,9.14266,3.74058,
Danny Young,3,0,3.95755,56,0,10,10,56,61,9.83245,4.23224,
José Ruiz,3,0,4.27423,62,0,10,10,62,61,8.87746,3.5673,
Phil Maton,3,0,4.23751,56,0,0,0,56,54,8.66622,3.4119,
Shane Smith,2,0,4.34832,58,0,10,10,58,54,8.4524,3.2782,
Ryan Gusto,2,1,4.50729,27,0,1,1,42,34,7.22826,3.14087,
Mike Burrows,2,1,4.40033,35,0,1,1,41,35,7.76498,3.33459,
Caleb Kilian,1,1,4.38117,24,0,1,1,31,23,6.93028,3.13736,
Ross Stripling,2,1,4.70082,28,0,1,1,35,24,6.29628,2.16222,
Sam Aldegheri,1,1,4.94389,3,0,0,0,17,14,7.73022,4.08259,
Matt Manning,2,1,4.14385,28,0,1,1,35,29,7.45577,2.83929,
Robert Stephenson,2,0,3.87278,32,0,1,1,32,39,11.1062,2.90984,
Carson Spiers,2,1,4.88552,38,0,1,1,46,40,7.88493,2.95882,
Joe Jiménez,1,0,3.48285,27,0,1,1,27,32,10.6717,2.9599,
JT Brubaker,3,1,4.41949,44,0,1,1,50,48,8.60029,2.84883,
Justin Topa,3,0,3.86438,50,0,1,1,50,43,7.76215,3.04598,
Sean Reid-Foley,3,0,3.83518,51,0,7,7,51,58,10.2582,4.77828,
Brusdar Graterol,1,0,3.34543,22,0,1,1,22,19,7.62627,2.43329,
Kody Funderburk,2,0,3.84542,48,0,1,1,48,48,9.04675,3.66433,
Craig Yoho,2,0,3.73068,47,0,1,1,47,53,10.1994,3.65689,
Colton Gordon,1,1,4.20384,17,0,1,1,24,21,7.86278,2.96125,
Cristian Mena,1,1,4.1422,14,0,1,1,21,18,8.07537,3.50964,
Tayler Saucedo,3,0,3.78314,61,0,12,12,61,58,8.60545,3.82377,
J.P. France,2,1,4.318,23,0,1,1,30,27,8.11312,3.44873,
Nic Enright,3,0,3.78064,46,0,1,1,46,48,9.31078,2.71486,
Cionel Pérez,2,0,3.72005,56,0,7,7,56,50,8.10122,4.07486,
Alex Lange,3,0,3.71021,39,0,1,1,39,45,10.2852,4.82655,
Carson Palmquist,1,1,5.14417,3,0,0,0,16,15,8.12075,4.07366,
Travis Adams,1,1,4.50163,17,0,1,1,24,18,6.77161,2.8595,
Yilber Diaz,3,1,4.12305,42,0,1,1,49,49,8.98521,3.96597,
Angel Perdomo,3,0,3.78473,54,0,7,7,54,68,11.4127,4.31768,
Bradley Blalock,2,1,5.26566,29,0,1,1,49,36,6.5718,3.48351,
Taijuan Walker,3,1,4.81061,51,0,1,1,66,48,6.58765,3.08577,
Luke Little,2,0,3.41419,40,0,1,1,40,48,10.8163,4.8699,
Dylan Floro,3,0,3.78959,48,0,1,1,48,37,6.84925,2.76679,
Brendon Little,3,0,3.85956,56,0,10,10,56,48,7.764,4.01065,
Thomas Harrington,0,1,4.57865,2,0,0,0,9,7,6.93638,2.53277,
Andrew Walters,3,0,3.98337,52,0,5,5,52,57,9.89225,4.18143,
Eduard Bazardo,3,0,3.6719,50,0,1,1,50,50,8.96121,2.97345,
Brant Hurter,2,0,3.78484,43,0,1,1,43,35,7.40724,2.09082,
Joey Estes,5,6,4.94662,33,0,1,1,105,79,6.72046,2.36392,
Brenan Hanifee,2,0,3.84085,44,0,1,1,44,34,6.9927,2.38461,
Bryan Hoeing,3,0,4.18295,68,0,13,13,68,54,7.16653,2.65606,
Adam Ottavino,2,0,4.1899,44,0,1,1,44,45,9.26122,3.84342,
Jake Bird,2,0,4.60577,61,1,10,11,61,52,7.63814,3.75597,
Luis García,2,0,3.88128,28,0,1,1,28,25,8.04721,2.87281,
Bryan Baker,2,0,3.96701,46,0,1,1,46,47,9.122,3.72147,
Jhonathan Díaz,0,1,4.27309,2,0,0,0,9,7,7.03849,3.54748,
Dillon Tate,1,0,4.19343,33,0,0,0,33,25,6.73514,2.88993,
Jake Cousins,3,0,3.92501,54,0,7,7,54,64,10.7366,4.27453,
Hans Crouse,3,0,4.23924,56,0,7,7,56,66,10.539,4.54006,
Nate Pearson,2,0,3.97478,54,0,7,7,54,59,9.87175,3.55642,
Ronny Henriquez,2,0,4.17232,50,0,4,4,50,42,7.60415,3.1494,
Keynan Middleton,1,0,3.97259,18,0,0,0,18,19,9.35759,3.74009,
Drey Jameson,3,0,3.79671,48,0,1,1,48,44,8.28507,2.93416,
Drue Hackenberg,0,1,4.54519,2,0,0,0,8,7,7.64526,4.12013,
Mason Barnett,0,1,4.46959,2,0,0,0,9,8,7.85429,3.53478,
Carlos Carrasco,1,1,4.64368,17,0,1,1,23,20,7.69958,2.89534,
Richard Lovelady,3,0,3.75658,32,0,1,1,32,29,8.03461,2.63063,
Jonathan Pintaro,0,1,4.60831,2,0,0,0,8,7,7.11675,3.41737,
Clayton Beeter,2,0,4.03967,38,0,1,1,38,42,9.94721,3.92948,
Carlos Hernández,2,0,4.20954,48,0,1,1,48,46,8.69779,3.84448,
Tim Mayza,2,0,4.07118,55,0,4,4,55,41,6.78342,3.15347,
Michael Fulmer,3,0,4.33769,50,0,1,1,50,49,8.85869,3.87312,
Drew Smyly,2,0,4.20694,38,0,0,0,38,36,8.59672,3.0232,
Gus Varland,3,0,4.41842,64,8,11,19,64,59,8.24809,3.61899,
Quinn Priester,2,0,4.08714,30,0,1,1,30,25,7.63882,2.81965,
Tekoah Roby,0,1,4.58052,2,0,0,0,8,6,6.78474,2.96346,
Gunnar Hoglund,4,2,4.70214,39,0,1,1,68,49,6.56251,2.65467,
Andrew Chafin,3,0,3.91911,55,0,6,6,55,60,9.87693,4.21692,
Huascar Ynoa,2,0,4.11537,36,0,1,1,36,36,8.95062,3.33351,
Brandon Eisert,1,0,4.05352,28,0,1,1,28,26,8.27765,3.26562,
Connor Thomas,3,0,3.99193,54,0,6,6,54,39,6.48896,2.35985,
Scott Effross,3,0,4.00192,34,0,1,1,34,28,7.52406,2.68642,
Keaton Winn,2,0,3.94153,42,0,1,1,42,39,8.31874,2.60931,
Trevor Stephan,2,0,3.85075,36,0,1,1,36,38,9.47043,3.27283,
Chase Lee,1,0,3.68743,24,0,1,1,24,23,8.6806,3.03739,
Tanner Gordon,2,1,4.99882,33,0,1,1,39,28,6.44202,2.21707,
Adam Macko,0,1,4.625,2,0,0,0,8,7,7.59792,3.81966,
Emiliano Teodo,0,1,4.87374,2,0,0,0,8,7,8.33697,4.79953,
Huascar Brazobán,2,0,4.01894,44,0,1,1,44,45,9.20084,4.26985,
James McArthur,2,0,4.04379,31,0,1,1,31,28,8.07924,2.91185,
Brent Suter,3,0,4.42376,63,0,11,11,63,49,7.02466,2.78114,
Sean Guenther,3,0,3.89261,46,0,1,1,46,37,7.19383,2.47519,
Josh Walker,2,0,3.9118,39,0,1,1,39,39,9.04989,3.71573,
Wikelman Gonzalez,1,1,5.19941,3,0,0,0,16,14,7.9432,4.93918,
Logan Evans,1,1,4.35589,10,0,1,1,16,13,7.07082,3.24874,
Michael Kopech,3,0,4.13608,53,3,10,13,53,62,10.5627,4.25913,
Zack Thompson,2,0,3.95022,40,0,1,1,40,40,9.01463,3.96822,
Penn Murfee,2,0,4.45559,51,0,4,4,51,47,8.35565,3.48432,
Shawn Dubin,1,0,3.99286,33,0,1,1,33,34,9.31009,4.22279,
Josh Staumont,1,0,4.39222,28,0,1,1,28,28,9.01769,4.61203,
Mason Thompson,3,0,4.19826,42,0,1,1,42,35,7.5568,3.41817,
Daniel Palencia,2,0,3.89333,38,0,1,1,38,43,10.1123,4.36012,
Ty Madden,1,0,4.07199,32,0,1,1,32,30,8.3023,3.1145,
Noah Cameron,1,0,3.98713,21,0,1,1,21,19,8.13201,2.57709,
Tim Hill,3,0,4.23723,63,0,12,12,63,36,5.13818,2.74682,
James Karinchak,2,0,4.28121,37,0,1,1,37,45,10.8889,4.86488,
Walter Pennington,3,0,4.11932,42,0,1,1,42,38,8.2481,3.75154,
Colin Selby,2,0,3.95915,51,0,1,1,51,53,9.41584,4.19053,
Eli Morgan,2,0,4.05184,50,0,1,1,50,47,8.4713,2.63123,
Josiah Gray,1,1,4.76615,10,0,1,1,17,15,8.23031,3.56581,
Emerson Hancock,2,2,4.65214,18,0,1,1,46,33,6.42648,2.97178,
Nick Sandlin,4,0,3.98318,59,0,12,12,59,63,9.58687,3.90227,
Lucas Gilbreath,2,0,4.7292,50,0,4,4,50,46,8.29603,4.62021,
Cody Poteet,1,0,3.85951,30,0,1,1,30,28,8.33832,2.96184,
Franco Aleman,2,0,3.93863,34,0,1,1,34,35,9.21651,3.30798,
Triston McKenzie,6,7,4.8108,38,0,1,1,120,112,8.42524,4.42958,
Nick Robertson,2,0,4.04086,42,0,1,1,42,40,8.59952,3.38589,
Kendall Graveman,4,0,3.85948,56,0,10,10,56,55,8.78042,4.02205,
Wandy Peralta,3,0,3.88421,52,0,4,4,52,44,7.69414,3.77112,
Hunter Gaddis,4,0,4.02813,65,0,17,17,65,59,8.21341,2.69593,
Drew Pomeranz,0,0,3.81502,14,0,1,1,14,15,9.42861,3.70723,
Garrett McDaniels,3,0,4.14361,52,0,4,4,52,44,7.63944,3.87024,
Hunter Stratton,1,0,4.10953,15,0,1,1,15,14,8.53862,3.48356,
Bennett Sousa,3,0,3.98183,48,0,1,1,48,48,8.99199,3.68557,
Evan Sisk,2,0,4.12256,36,0,1,1,36,33,8.25192,4.31279,
Gordon Graceffo,2,1,4.36884,40,0,1,1,47,33,6.44758,2.81742,
Tyler Stuart,1,0,4.07191,21,0,1,1,21,18,7.61042,2.73548,
Brandon Young,1,0,4.00033,22,0,1,1,22,21,8.4356,2.66871,
Dauri Moreta,2,0,4.12431,37,0,1,1,37,39,9.41092,3.65683,
Kevin Herget,2,0,4.14129,34,0,1,1,34,29,7.71396,2.57142,
Hagen Danner,1,0,3.78041,28,0,1,1,28,28,9.0481,3.12623,
Andrew Saalfrank,2,0,3.76958,28,0,1,1,28,27,8.54505,4.52574,
Kyle Amendt,2,0,3.82117,21,0,1,1,21,24,10.2149,4.60261,
Kyle Nelson,2,0,4.01042,35,0,1,1,35,34,8.626,3.41551,
Patrick Monteverde,2,1,4.5246,35,0,1,1,42,31,6.73138,3.03099,
Zack Kelly,2,0,4.25508,26,0,1,1,26,27,9.43749,4.36013,
Dane Acker,0,1,5.11418,2,0,0,0,8,7,7.28414,3.94815,
Nate Lavender,1,0,3.96719,22,0,1,1,22,24,10.0098,4.3238,
Davis Daniel,1,0,4.09299,15,0,1,1,15,13,7.84491,2.3624,
Zach Penrod,1,0,4.27034,18,0,1,1,18,19,9.33464,4.29802,
Jack Dreyer,1,0,4.15784,17,0,1,1,17,17,8.93854,3.56953,
Yosver Zulueta,2,0,4.49483,46,0,1,1,46,46,8.96882,4.37753,
Tyler Alexander,3,1,4.5211,52,0,4,4,59,49,7.4133,1.94823,
Nick Frasso,1,0,4.05399,15,0,1,1,15,14,8.487,2.88504,
Riley O'Brien,3,0,4.09491,53,0,7,7,53,53,9.00748,4.47441,
Daniel Robert,2,0,4.46259,28,0,1,1,28,28,8.86537,3.79605,
Jackson Rutledge,1,1,4.68851,26,0,1,1,32,26,7.32286,3.73661,
Jimmy Herget,3,0,4.78916,48,0,1,1,48,41,7.76252,2.83995,
Matt Festa,1,0,4.3275,18,0,1,1,18,17,8.5301,3.50248,
Brent Headrick,1,0,4.15174,24,0,1,1,24,24,9.00937,2.94946,
Enyel De Los Santos,1,0,3.98724,21,0,1,1,21,22,9.2232,3.29938,
Dietrich Enns,1,0,3.83592,15,0,1,1,15,15,8.86608,3.2751,
Hunter Bigge,3,0,4.19157,55,0,8,8,55,60,9.7742,4.50273,
Jack Neely,0,0,4.1038,10,0,1,1,10,10,9.42495,3.53848,
Miguel Castro,3,0,4.28974,43,0,1,1,43,40,8.35644,3.63648,
Jesse Chavez,1,0,4.22736,33,0,1,1,33,30,8.14336,3.05135,
Jordan Balazovic,1,0,4.0655,12,0,1,1,12,11,8.1552,3.65466,
Logan Henderson,1,0,4.09,10,0,1,1,10,10,9.3759,2.6505,
Blas Castano,2,1,4.30178,28,0,1,1,34,26,6.74416,2.91842,
Josh Simpson,2,0,4.14069,39,0,1,1,39,42,9.6223,4.54417,
Michael Kelly,1,0,4.15677,24,0,1,1,24,22,8.33748,3.49345,
Luis González,2,0,3.99955,36,0,1,1,36,34,8.48668,2.8713,
Cristian Javier,1,0,4.03859,17,0,1,1,17,18,9.38866,3.38435,
Andrew Morris,0,0,4.14695,8,0,1,1,8,6,7.10708,2.42854,
Trevor Gott,0,0,4.04254,10,0,1,1,10,9,8.39097,3.04081,
Colten Brewer,1,0,4.50494,22,0,1,1,22,20,8.35611,3.65903,
Gabriel Hughes,1,0,4.71223,12,0,1,1,12,11,8.13488,3.4674,
Tyler Wells,0,0,4.16404,8,0,1,1,8,7,8.37491,2.43764,
Vince Velasquez,1,0,4.02252,12,0,1,1,12,12,9.18983,3.01357,
Luis Frías,2,0,4.25161,39,0,1,1,39,39,9.01625,4.12649,
JT Chargois,1,0,4.10366,26,0,1,1,26,24,8.24055,3.62793,
Alex Young,1,0,4.62635,22,0,1,1,22,19,7.94114,3.41131,
Yohan Ramírez,1,0,4.33672,17,0,1,1,17,16,8.26349,3.89747,
Anthony Molina,1,0,4.88825,33,0,1,1,33,23,6.26695,2.76757,
Hayden Harris,1,0,4.11834,17,0,1,1,17,18,9.76973,4.2049,
Zach Maxwell,2,0,4.62121,33,0,1,1,33,36,9.91787,5.08387,
Carson Seymour,1,0,4.00159,24,0,1,1,24,19,7.28094,2.91939,
Chad Patrick,1,0,4.24076,24,0,1,1,24,22,8.06963,2.65752,
Andrew Misiaszek,2,0,3.99219,31,0,1,1,31,32,9.30298,4.05036,
Yerry De Los Santos,1,0,4.24152,26,0,1,1,26,21,7.25513,3.2148,
Justin Lawrence,4,0,4.39375,66,0,8,8,66,60,8.183,4.27734,
Carson Ragsdale,1,0,4.05994,28,0,1,1,28,28,9.06201,3.3653,
Tyler Mattison,1,0,4.01335,22,0,1,1,22,22,8.86582,3.83879,
Tyler Phillips,2,0,4.50839,43,0,1,1,43,32,6.67918,2.88217,
Alex Speas,1,0,4.32021,16,0,1,1,16,18,9.90915,5.90636,
Tommy Nance,3,0,4.1595,54,0,7,7,54,48,8.01505,3.20881,
Trevor Richards,1,0,4.24096,26,0,1,1,26,28,9.76831,4.07205,
Ryan Borucki,1,0,4.20042,28,0,1,1,28,28,8.92971,3.93846,
Edgardo Henriquez,2,0,4.4152,36,0,1,1,36,38,9.54924,4.38096,
Albert Abreu,0,0,4.50228,10,0,1,1,10,10,9.02232,4.22955,
A.J. Blubaugh,1,0,4.17512,10,0,1,1,10,9,8.20979,3.25316,
Justin Wrobleski,2,0,4.37911,35,0,1,1,35,31,8.03768,3.11861,
Wilmer Flores,0,0,4.14566,8,0,1,1,8,7,7.5567,3.30378,
Peter Strzelecki,1,0,4.47644,26,0,1,1,26,23,7.98921,3.59975,
Chris Murphy,0,0,4.47867,8,0,1,1,8,7,7.7621,3.72372,
Matt Canterino,1,0,4.30984,12,0,1,1,12,13,9.40823,4.02037,
Connor Phillips,1,0,4.72823,21,0,1,1,21,22,9.29238,4.39181,
Mason Fluharty,1,0,4.14186,22,0,1,1,22,21,8.45292,3.42443,
Alex Cornwell,0,0,4.13522,8,0,1,1,8,6,6.39327,2.70771,
Mason Montgomery,3,0,4.04288,60,1,12,13,60,58,8.75173,3.32356,
Jonathan Bowlan,2,0,4.46542,40,0,1,1,40,31,7.04498,2.90996,
Anthony Misiewicz,1,0,4.32019,21,0,1,1,21,19,8.3112,3.24999,
Taylor Clarke,0,0,4.51678,8,0,1,1,8,6,7.3108,2.75132,
José Cisnero,1,0,4.33798,24,0,0,0,24,25,9.23461,4.0089,
J.B. Wendelken,1,0,4.15519,22,0,1,1,22,20,8.12741,3.71487,
Jake Woodford,0,0,4.78087,10,0,1,1,10,7,6.73506,2.71867,
Gavin Hollowell,0,0,4.28125,6,0,1,1,6,6,9.01984,3.85585,
Jacob Lopez,2,0,4.06841,36,0,1,1,36,35,8.72424,3.76877,
Justin Hagenman,1,0,4.29852,12,0,1,1,12,11,7.96103,2.73666,
Sem Robberse,1,0,4.18911,21,0,1,1,21,17,7.26769,2.91666,
Zach Pop,2,0,4.27501,44,0,1,1,44,35,7.09575,3.25768,
Trent Harris,0,0,4.03113,10,0,1,1,10,9,8.1468,3.36609,
Ethan Small,1,0,4.02621,13,0,1,1,13,12,8.39282,3.8157,
Marc Church,3,0,4.41803,46,0,1,1,46,46,8.98949,3.7153,
Tejay Antone,0,0,4.80547,8,0,1,1,8,7,8.40207,3.85802,
John McMillon,2,0,4.40032,21,0,1,1,21,24,10.1126,5.22997,
Alek Jacob,2,0,4.1755,48,0,1,1,48,44,8.25076,3.43712,
Ethan Roberts,1,0,4.18485,35,0,1,1,35,35,8.88533,3.61569,
Grant Anderson,1,0,4.34938,28,0,1,1,28,28,9.04846,3.48439,
Austin Adams,1,0,4.53856,24,0,1,1,24,29,10.7293,4.85448,
Tyler Ferguson,3,0,4.13537,62,1,15,16,62,64,9.27996,4.25971,
Jack O'Loughlin,0,0,4.86085,8,0,1,1,8,6,6.85794,3.47591,
Blake Weiman,0,0,4.33028,8,0,1,1,8,6,7.30429,2.77004,
Chase Shugart,1,0,4.52395,19,0,1,1,19,15,7.00814,3.34699,
Cory Lewis,1,0,4.41223,10,0,1,1,10,9,8.26974,3.71682,
Tommy Henry,1,0,4.10928,24,0,1,1,24,21,7.82051,3.29418,
Jose Cuas,0,0,4.56371,10,0,1,1,10,10,8.6148,4.17896,
Gerson Garabito,1,0,4.50083,21,0,1,1,21,19,8.07452,3.17298,
Steven Okert,1,0,4.17841,26,0,1,1,26,28,9.55938,3.77429,
Elvin Rodriguez,1,0,4.24765,25,0,1,1,25,23,8.34358,2.8994,
Eiberson Castellano,2,0,4.34255,42,0,1,1,42,40,8.58259,3.34183,
Francis Pena,2,0,4.27333,33,0,1,1,33,27,7.42066,3.32181,
Luis Contreras,2,0,4.32457,44,0,1,1,44,43,8.74865,3.79168,
Grant Wolfram,1,0,4.36227,18,0,1,1,18,17,8.59982,4.19457,
Marco Raya,1,0,4.45894,14,0,1,1,14,12,7.91253,3.6507,
Tyler Gilbert,2,0,4.52329,54,3,6,9,54,44,7.40309,2.75993,
Cody Bolton,2,0,4.07676,41,0,1,1,41,39,8.50155,3.85524,
Chris Flexen,1,0,4.5569,16,0,1,1,16,13,7.29933,2.98304,
Tommy Doyle,1,0,4.94935,21,0,1,1,21,17,7.47801,3.8146,
Austin Warren,0,0,4.35749,10,0,1,1,10,9,7.67568,3.56862,
Joey Lucchesi,0,0,4.22888,8,0,1,1,8,6,6.38814,3.26347,
Austin Davis,1,0,4.50789,12,0,1,1,12,12,9.06119,5.00764,
Seth Martinez,1,0,4.07491,17,0,1,1,17,14,7.59022,3.39249,
Cole Sulser,2,0,4.31129,28,0,1,1,28,26,8.42604,3.81842,
Lyon Richardson,0,0,4.81947,12,0,1,1,12,11,8.48466,4.29408,
Shintaro Fujinami,1,0,4.127,24,0,1,1,24,26,9.79333,4.8624,
Joe Jacques,0,0,4.44348,10,0,1,1,10,8,6.87451,3.40083,
Connor Seabold,0,0,4.42015,10,0,1,1,10,9,7.91217,2.3238,
Cole Waites,1,0,4.1023,15,0,1,1,15,15,8.9115,4.13994,
John Rooney,1,0,4.43201,22,0,1,1,22,19,7.81531,3.94805,
Janson Junk,1,0,4.55564,18,0,1,1,18,13,6.35192,2.489,
Xzavion Curry,0,0,4.73863,8,0,1,1,8,6,6.81214,2.64789,
Drew Smith,1,0,4.2612,14,0,1,1,14,14,9.31415,3.77325,
Kyle Nicolas,2,0,4.29932,44,0,1,1,44,44,8.96184,4.39438,
Angel Bastardo,1,0,4.28162,17,0,1,1,17,15,7.99305,3.73312,
Jose E. Hernandez,1,0,4.32559,13,0,1,1,13,12,8.64831,4.00362,
Joe Barlow,0,0,4.72678,10,0,1,1,10,8,7.2985,3.40742,
Prelander Berroa,2,0,4.41835,48,3,1,4,48,51,9.60748,5.09827,
Max Rajcic,1,0,4.45882,10,0,1,1,10,7,6.71544,2.74354,
Dylan Dodd,2,0,4.26829,33,0,1,1,33,26,7.12636,2.39734,
Randy Rodríguez,3,0,4.05228,53,0,7,7,53,54,9.11785,4.24838,
Matt Barnes,1,0,4.63871,28,0,0,0,28,25,7.97376,3.86924,
Giovanny Gallegos,2,0,4.56756,33,0,1,1,33,32,8.8019,3.18669,
Ryan Loutos,2,0,4.19984,48,0,1,1,48,39,7.36325,3.57858,
Génesis Cabrera,1,0,4.29797,22,0,1,1,22,20,8.34655,4.04625,
Kelvin Cáceres,0,0,4.70818,10,0,1,1,10,10,9.44202,5.44192,
Easton Lucas,1,0,4.30713,35,0,1,1,35,31,7.92582,3.72109,
Steven Cruz,2,0,4.3459,44,0,1,1,44,42,8.50679,4.37502,
Eric Orze,3,0,4.13921,44,0,1,1,44,45,9.21063,4.01287,
