Name,W,QS,ERA,G,SV,HLD,SVH,IP,SO,K/9,BB/9,FIP
A.J. Minter,5,0,3.36916,54,2,11,13,54,60,10.0447,2.9807,
Drew Thorpe,5,7,4.75673,16,0,0,0,86,68,7.06959,3.24208,
Ian Hamilton,3,0,3.46017,60,1,15,16,60,66,9.9461,3.62046,
Kevin Ginkel,5,0,3.30591,61,3,14,17,61,65,9.58561,2.84652,
Tomoyuki Sugano,7,10,4.68602,23,0,0,0,129,96,6.65022,1.97207,
Kenley Jansen,3,0,3.82842,60,26,4,30,60,68,10.1927,3.41475,
Carlos Estévez,5,0,3.86509,64,21,6,27,64,63,8.80185,3.14041,
Spencer Turnbull,3,5,4.30288,11,0,0,0,63,57,8.19351,3.29369,
Liam Hendriks,4,0,3.88404,61,23,6,29,61,70,10.3231,2.85715,
Pierce Johnson,5,0,3.60084,64,2,12,14,64,78,10.95,3.76619,
Robert Suarez,5,0,3.65655,65,28,4,32,65,65,9.03145,3.05884,
Osvaldo Bido,7,6,4.39873,42,0,1,1,112,103,8.24079,3.66552,
Hayden Wesneski,6,5,4.34315,49,0,1,1,106,98,8.36531,2.9815,
Camilo Doval,5,0,3.3092,62,10,12,22,62,75,10.9514,4.14132,
Anthony Bender,3,0,3.67595,60,5,12,17,60,63,9.4353,3.28145,
Cole Sands,4,0,3.66064,64,1,15,16,64,70,9.81355,2.80438,
Jason Foley,4,0,3.54239,63,13,7,20,63,51,7.34548,2.61843,
David Robertson,4,0,3.49063,57,0,0,0,57,70,11.0243,3.68972,
Cal Quantrill,7,11,4.81356,26,0,0,0,143,104,6.53395,3.36034,
Matt Waldron,4,5,4.51622,21,0,1,1,80,66,7.41188,2.58246,
Tyler Holton,4,0,3.40482,72,6,13,19,72,64,7.945,2.30982,
Will Vest,3,0,3.38969,68,2,12,14,68,66,8.75907,2.80313,
Dustin May,4,2,3.57203,53,0,7,7,74,78,9.48631,2.94597,
