Name,W,QS,ERA,WHIP,G,SV,HLD,SVH,IP,SO,K/9,BB/9,BABIP,FIP
Tommy Nance,3,0,4.15947,1.3315,54,0,7,7,54,48,8.01513,3.20883,0.295023,4.25663
Tomoyuki Sugano,7,10,4.68603,1.31314,23,0,0,0,129,96,6.65018,1.97211,0.297577,4.66572
Tony Gonsolin,6,6,4.48605,1.28155,39,0,1,1,99,86,7.79528,3.02727,0.281153,4.59528
Tony Santillan,3,0,4.39049,1.34632,58,1,11,12,58,66,10.2395,4.19113,0.29342,4.32255
Travis Adams,1,1,4.50164,1.37006,17,0,1,1,24,18,6.77155,2.85948,0.296971,4.45288
Trent Harris,0,0,4.03113,1.3327,10,0,1,1,10,9,8.1468,3.36609,0.293481,4.12791
Trent Thornton,3,0,3.73329,1.21636,67,0,14,14,67,66,8.83937,2.69382,0.286831,3.94516
Trevor Gott,0,0,4.0426,1.27296,10,0,1,1,10,9,8.39092,3.04081,0.290362,3.99867
Trevor McDonald,2,0,4.12517,1.34089,38,0,1,1,38,30,6.98931,2.96711,0.296337,4.21493
Trevor Megill,3,0,3.43454,1.19759,64,28,2,30,64,78,10.9673,3.18884,0.293401,3.41718
Trevor Richards,1,0,4.24096,1.31681,26,0,1,1,26,28,9.76832,4.07205,0.284624,4.23761
Trevor Rogers,3,2,4.24766,1.36316,27,0,1,1,54,47,7.726,3.2878,0.297592,4.24752
Trevor Stephan,2,0,3.84966,1.26661,36,0,1,1,36,38,9.47045,3.27281,0.293899,3.89465
Trevor Williams,6,6,4.53079,1.36631,53,0,1,1,113,90,7.21598,2.84205,0.296204,4.60646
Tristan Beck,3,1,3.98628,1.27359,48,0,1,1,55,48,7.76073,2.58579,0.293165,4.02954
Triston McKenzie,6,7,4.78925,1.45642,42,0,1,1,117,110,8.45527,4.41654,0.286039,5.08666
Troy Taylor,3,0,3.98956,1.30118,54,0,4,4,54,54,8.99912,3.64266,0.285664,4.27198
Ty Madden,1,0,4.07222,1.28556,32,0,1,1,32,30,8.3023,3.11447,0.287477,4.07666
Tyler Alexander,3,1,4.5211,1.25182,52,0,4,4,59,49,7.41324,1.94818,0.288639,4.6061
Tyler Anderson,9,13,4.6227,1.37448,29,0,0,0,169,136,7.26844,3.26549,0.288985,4.77714
Tyler Ferguson,3,0,4.13539,1.34434,62,1,15,16,62,64,9.27988,4.25971,0.287954,4.27499
Tyler Gilbert,2,0,4.5233,1.32902,54,3,6,9,54,44,7.40303,2.7599,0.294762,4.5014
Tyler Glasnow,10,14,3.31864,1.08273,24,0,0,0,140,173,11.1103,2.54686,0.288144,3.15122
Tyler Holton,4,0,3.40507,1.14221,72,6,13,19,72,64,7.94498,2.30982,0.280716,3.626
Tyler Kinley,3,0,4.72233,1.39586,64,18,6,24,64,67,9.41595,3.84981,0.303386,4.48327
Tyler Mahle,8,13,4.28776,1.26109,26,0,0,0,141,131,8.38428,2.86116,0.286924,4.23156
Tyler Mattison,1,0,4.01387,1.33189,22,0,1,1,22,22,8.86582,3.83883,0.286719,4.18706
Tyler Matzek,2,0,4.16518,1.40448,46,0,4,4,46,44,8.565,4.31679,0.290401,4.4244
Tyler Owens,1,0,4.43589,1.37112,21,0,1,1,21,17,7.20238,3.26044,0.291051,4.48994
Tyler Phillips,2,0,4.50839,1.37271,43,0,1,1,43,32,6.67918,2.88217,0.29589,4.51511
Tyler Rogers,4,0,3.74991,1.23034,70,1,14,15,70,50,6.36789,1.83986,0.297164,3.84755
Tyler Stuart,1,0,4.07191,1.28567,21,0,1,1,21,18,7.61042,2.73548,0.292073,4.13936
Tyler Wells,0,0,4.16417,1.19434,8,0,1,1,8,7,8.37485,2.43758,0.281396,4.22221
Tyler Zuber,2,0,4.83022,1.43265,33,0,1,1,33,31,8.48185,4.31818,0.286797,4.82184
Tylor Megill,5,2,3.98983,1.27532,53,0,1,1,81,83,9.26123,3.28803,0.291806,3.95087
Tyson Miller,3,0,3.97381,1.24795,62,1,12,13,62,57,8.24704,2.91941,0.285772,4.08802
Valente Bellozo,2,2,4.86016,1.40709,27,0,1,1,57,41,6.51929,2.95594,0.293868,4.97903
Victor González,1,0,4.4645,1.4522,24,0,1,1,24,18,6.89006,4.06041,0.29606,4.72263
Victor Mederos,1,0,4.95246,1.48278,26,0,1,1,26,20,6.96587,3.99215,0.294879,5.04256
Victor Vodnik,3,0,4.4369,1.46342,66,3,11,14,66,63,8.59205,4.33082,0.307671,4.25808
Vince Velasquez,1,0,4.01796,1.265,12,0,1,1,12,12,9.186,3.0123,0.290664,4.10375
Wade Miley,3,4,4.92929,1.4597,10,0,0,0,52,34,5.97154,3.18575,0.300279,4.93209
Walker Buehler,9,12,4.26282,1.3246,40,0,1,1,150,129,7.76386,2.767,0.303023,4.10529
Walter Pennington,3,0,4.11932,1.36739,42,0,1,1,42,38,8.248,3.75154,0.296002,4.12784
Wandy Peralta,3,0,3.88182,1.3337,52,0,4,4,52,44,7.69411,3.7711,0.28626,4.30525
Wikelman Gonzalez,1,1,5.19941,1.53195,3,0,0,0,16,14,7.9432,4.93924,0.290271,5.29388
Will Klein,1,0,4.26624,1.45381,22,0,1,1,22,22,9.11317,4.97921,0.288453,4.4403
Will Smith,1,0,4.65662,1.35893,30,0,0,0,30,26,7.78685,3.37363,0.290183,4.64711
Will Vest,3,0,3.38992,1.2094,68,2,12,14,68,66,8.75908,2.80313,0.292315,3.40078
Will Warren,3,1,4.09174,1.26229,41,0,1,1,55,53,8.63419,2.90168,0.292073,3.95428
Wilmer Flores,0,0,4.14585,1.33208,8,0,1,1,8,7,7.55676,3.30378,0.289947,4.25518
Xzavion Curry,0,0,4.73863,1.3442,8,0,1,1,8,6,6.81214,2.64783,0.290067,4.80109
Yariel Rodríguez,6,5,3.98691,1.29298,59,0,1,1,100,105,9.44087,3.792,0.285718,4.04049
Yennier Cano,4,0,3.33717,1.24117,61,1,12,13,61,60,8.81826,3.07238,0.297794,3.42047
Yerry De Los Santos,1,0,4.24154,1.34744,24,0,1,1,24,19,7.25513,3.2148,0.290646,4.39684
Yilber Diaz,3,1,4.12306,1.36607,42,0,1,1,49,49,8.98517,3.96598,0.294236,4.2385
Yimi García,4,0,3.60038,1.17349,61,3,14,17,61,67,9.86636,2.82697,0.286837,3.70427
Yoendrys Gómez,2,0,4.48921,1.34105,44,0,1,1,44,42,8.69133,3.76527,0.282433,4.57596
Yohan Ramírez,1,0,4.33673,1.3684,17,0,1,1,17,16,8.26344,3.8975,0.298041,4.33182
Yoshinobu Yamamoto,12,16,3.45271,1.07946,28,0,0,0,163,169,9.35988,2.17841,0.280537,3.3843
Yosver Zulueta,2,0,4.49483,1.4309,46,0,1,1,46,46,8.96882,4.37753,0.301684,4.45621
Yu Darvish,11,15,4.09954,1.19307,29,0,0,0,164,156,8.52301,2.4603,0.283192,4.1253
Yuki Matsui,3,0,3.60124,1.25628,58,0,11,11,58,67,10.4094,3.98975,0.282786,3.80109
Yusei Kikuchi,10,16,3.92242,1.24838,31,0,0,0,169,189,10.0662,2.87246,0.301521,3.8967
Zac Gallen,12,16,3.68788,1.22676,29,0,0,0,170,167,8.87083,2.81068,0.292961,3.72771
Zach Agnos,2,0,4.81253,1.38684,26,0,1,1,26,22,7.78093,3.1382,0.299158,4.74874
Zach Brzykcy,2,0,4.41513,1.39184,48,0,1,1,48,48,8.90912,4.23722,0.289357,4.52696
Zach Eflin,11,16,3.83383,1.18366,29,0,0,0,174,145,7.48579,1.54103,0.296174,3.85287
Zach Maxwell,2,0,4.62122,1.45198,33,0,1,1,33,36,9.91781,5.08389,0.291863,4.56506
Zach Penrod,1,0,4.27034,1.40309,18,0,1,1,18,19,9.33464,4.29802,0.299133,4.29199
Zach Pop,2,0,4.275,1.35827,44,0,1,1,44,35,7.09575,3.25764,0.294504,4.28252
Zack Kelly,2,0,4.25512,1.38537,26,0,1,1,26,27,9.43742,4.36015,0.299136,4.22422
Zack Littell,8,10,4.27355,1.25442,33,0,1,1,134,114,7.67463,2.06596,0.294153,4.30364
Zack Thompson,2,0,3.95022,1.34845,40,0,1,1,40,40,9.01463,3.96821,0.291746,4.12201
Zack Wheeler,14,20,3.30341,1.10607,32,0,0,0,202,214,9.52612,2.35841,0.284331,3.33808
Zebby Matthews,5,5,4.02934,1.21169,39,0,1,1,87,80,8.25038,1.8677,0.296221,3.93257
