Name,W,QS,ERA,WHIP,G,SV,HLD,SVH,IP,SO,K/9,BB/9,BABIP,FIP
Jake Bloss,2,2,4.73789,1.39655,19,0,1,1,37,30,7.31171,3.40609,0.288062,4.83681
Jake Cousins,3,0,3.92502,1.27913,54,0,7,7,54,64,10.7365,4.27455,0.286426,4.13231
Jake Diekman,2,0,4.31877,1.4495,40,0,1,1,40,47,10.5131,5.5649,0.291993,4.45375
Jake Eder,1,0,4.71136,1.46375,17,0,1,1,17,15,7.87519,4.22285,0.29472,4.8501
Jake Irvin,9,14,4.43509,1.30347,29,0,0,0,163,135,7.47143,2.86014,0.288593,4.52925
Jake Woodford,0,0,4.78089,1.40001,10,0,1,1,10,7,6.73497,2.71867,0.305743,4.60991
Jakob Junis,3,1,4.21253,1.22227,62,0,11,11,70,65,8.42796,2.0812,0.297905,4.01451
Jalen Beeks,2,0,3.9601,1.36555,37,0,0,0,37,33,8.05851,3.49126,0.300209,4.04
James Karinchak,2,0,4.28122,1.36262,37,0,1,1,37,45,10.8889,4.86494,0.28601,4.28815
James McArthur,2,0,4.04379,1.30844,31,0,1,1,31,28,8.07924,2.91185,0.299941,3.98825
Jameson Taillon,10,14,4.31106,1.25861,29,0,0,0,165,132,7.18035,2.16925,0.290933,4.33194
Janson Junk,1,0,4.55564,1.35515,22,0,1,1,22,16,6.35187,2.48889,0.296344,4.52161
Jared Jones,9,14,3.89989,1.22681,36,0,1,1,159,162,9.1833,2.90943,0.291051,3.85477
Jared Koenig,4,0,3.75736,1.27139,62,2,11,13,62,60,8.7341,3.19235,0.290818,3.89064
Jared Shuster,2,0,4.63408,1.41759,40,0,1,1,40,31,6.88359,3.49613,0.291991,4.69949
Jason Adam,5,0,3.34019,1.1126,67,3,12,15,67,77,10.3898,3.12718,0.275529,3.63414
Jason Foley,4,0,3.54264,1.25428,63,13,7,20,63,51,7.34548,2.61839,0.29489,3.56368
Javier Assad,7,9,4.28395,1.37182,45,0,1,1,137,113,7.46695,3.49248,0.290276,4.48391
Jay Jackson,1,0,4.40949,1.30037,20,0,0,0,20,20,8.86675,2.94603,0.295162,4.47601
Jeff Brigham,1,0,4.4053,1.39411,15,0,1,1,15,15,8.97357,4.30365,0.287834,4.70132
Jeff Hoffman,4,0,2.97654,1.09186,65,26,4,30,65,80,11.0356,3.01008,0.282899,3.10673
Jeffrey Springs,8,13,3.71524,1.21561,34,0,1,1,133,131,8.87,2.51736,0.291452,3.87124
Jefry Yan,1,0,4.82661,1.55864,17,0,1,1,17,16,8.51257,5.13577,0.305754,4.90601
Jeremiah Estrada,4,0,3.25762,1.17668,63,3,14,17,63,85,12.1162,3.89999,0.283467,3.31338
Jesse Chavez,1,0,4.22734,1.32955,26,0,1,1,26,24,8.14338,3.05135,0.296276,4.24784
Jesús Luzardo,10,12,4.14658,1.24795,41,0,1,1,158,163,9.28894,3.09802,0.286496,4.13658
