Name,Team,Position,Status,Age,OriginalSalary,AdjustedSalary,AuctionSalary,W,QS,ERA,G,SV,HLD,SVH,IP,SO,K/9,BB/9,PitchingTeamid
Chris Martin,TEX,RP,FA,38,,,,,,,,,,,,,,,
Phil Maton,(N/A),RP,FA,31,,,,,,,,,,,,,,,
Colin Holderman,PIT,RP,FA,29,,,,,,,,,,,,,,,
Kyle Finnegan,WSH,RP,FA,33,,,,,,,,,,,,,,,
Antonio Senzatela,COL,SP,FA,30,,,,,,,,,,,,,,,
Evan Phillips,LAD,RP,FA,30,,,,,,,,,,,,,,,
Shawn Armstrong,TEX,RP,FA,34,,,,,,,,,,,,,,,
Garrett Cleavinger,TB,RP,FA,30,,,,,,,,,,,,,,,
Victor Vodnik,COL,RP,FA,25,,,,,,,,,,,,,,,
Cionel Perez,BAL,RP,FA,28,,,,,,,,,,,,,,,
Buck Farmer,ATL,RP,FA,34,,,,,,,,,,,,,,,
Yimi Garcia,TOR,RP,FA,34,,,,,,,,,,,,,,,
Tyson Miller,CHC,RP,FA,29,,,,,,,,,,,,,,,
Jose Leclerc,ATH,RP,FA,31,,,,,,,,,,,,,,,
Jake Cousins,NYY,RP,FA,30,,,,,,,,,,,,,,,
Declan Cronin,MIA,RP,FA,27,,,,,,,,,,,,,,,
Seranthony Dominguez,BAL,RP,FA,30,,,,,,,,,,,,,,,
Yuki Matsui,SD,RP,FA,29,,,,,,,,,,,,,,,
Tyler Ferguson,ATH,P,FA,31,,,,,,,,,,,,,,,
Pedro Avila,(N/A),RP,FA,28,,,,,,,,,,,,,,,
Hunter Strickland,(N/A),RP,FA,36,,,,,,,,,,,,,,,
Beau Brieske,DET,RP,FA,26,,,,,,,,,,,,,,,
Dennis Santana,PIT,RP,FA,28,,,,,,,,,,,,,,,
Gregory Soto,BAL,RP,FA,30,,,,,,,,,,,,,,,
Jorge Lopez,WSH,RP,FA,32,,,,,,,,,,,,,,,
Hector Neris,ATL,RP,FA,35,,,,,,,,,,,,,,,
Lance McCullers Jr.,HOU,SP,FA,31,,,,,,,,,,,,,,,
Trevor Megill,MIL,RP,GOV,31,,,,,,,,,,,,,,,
Ryan Yarbrough,TOR,RP,FA,33,,,,,,,,,,,,,,,
Bryce Elder,ATL,SP,FA,25,,,,,,,,,,,,,,,
Tyler Kinley,COL,RP,FA,34,,,,,,,,,,,,,,,
Adrian Morejon,SD,RP,FA,26,,,,,,,,,,,,,,,
Hunter Harvey,KC,RP,FA,30,,,,,,,,,,,,,,,
Greg Weissert,BOS,RP,FA,30,,,,,,,,,,,,,,,
Noah Syndergaard,(N/A),SP,FA,32,,,,,,,,,,,,,,,
T.J. McFarland,ATH,RP,FA,35,,,,,,,,,,,,,,,
Joey Cantillo,CLE,SP,FA,25,,,,,,,,,,,,,,,
Bryse Wilson,CHW,RP,FA,27,,,,,,,,,,,,,,,
Jhony Brito,SD,SP,FA,27,,,,,,,,,,,,,,,
Shane Bieber,CLE,SP,FA,29,,,,,,,,,,,,,,,
Ian Hamilton,NYY,RP,FA,29,,,,,,,,,,,,,,,
Taylor Rogers,CIN,RP,FA,34,,,,,,,,,,,,,,,
Dylan Floro,ATH,RP,FA,34,,,,,,,,,,,,,,,
Liam Hendriks,BOS,RP,FA,36,,,,,,,,,,,,,,,
Nick Mears,MIL,RP,FA,28,,,,,,,,,,,,,,,
Ryan Brasier,CHC,RP,FA,37,,,,,,,,,,,,,,,
Erik Swanson,TOR,RP,FA,31,,,,,,,,,,,,,,,
Ben Joyce,LAA,RP,FA,24,,,,,,,,,,,,,,,
Justin Wrobleski,LAD,SP,FA,24,,,,,,,,,,,,,,,
Jalen Beeks,(N/A),RP,FA,31,,,,,,,,,,,,,,,
Craig Kimbrel,(N/A),RP,FA,36,,,,,,,,,,,,,,,
Bryan Hoeing,SD,RP,FA,28,,,,,,,,,,,,,,,
Andrew Nardi,MIA,RP,FA,26,,,,,,,,,,,,,,,
Chris Stratton,KC,RP,FA,34,,,,,,,,,,,,,,,
Jakob Junis,CLE,SP,FA,32,,,,,,,,,,,,,,,
Anthony Bender,MIA,RP,FA,30,,,,,,,,,,,,,,,
Adam Ottavino,BOS,RP,FA,39,,,,,,,,,,,,,,,
DL Hall,MIL,RP,FA,26,,,,,,,,,,,,,,,
Ryan Burr,TOR,RP,FA,30,,,,,,,,,,,,,,,
Justin Anderson,CHW,RP,FA,32,,,,,,,,,,,,,,,
Daniel Hudson,LAD,RP,FA,37,,,,,,,,,,,,,,,
Anthony Banda,LAD,RP,FA,31,,,,,,,,,,,,,,,
Jacob Barnes,TOR,RP,FA,34,,,,,,,,,,,,,,,
Scott Barlow,CIN,RP,FA,32,,,,,,,,,,,,,,,
Matt Brash,SEA,RP,FA,26,,,,,,,,,,,,,,,
Joe Jimenez,ATL,RP,FA,30,,,,,,,,,,,,,,,
Mike Baumann,(N/A),RP,FA,29,,,,,,,,,,,,,,,
Manuel Rodriguez,TB,RP,FA,28,,,,,,,,,,,,,,,
Jared Koenig,MIL,RP,FA,31,,,,,,,,,,,,,,,
Trevor Richards,CHC,RP,FA,31,,,,,,,,,,,,,,,
Edwin Uceta,TB,RP,FA,27,,,,,,,,,,,,,,,
Elvis Peguero,MIL,RP,FA,27,,,,,,,,,,,,,,,
Michael Grove,LAD,SP,FA,28,,,,,,,,,,,,,,,
Luis Garcia,LAD,RP,FA,38,,,,,,,,,,,,,,,
Paul Sewald,CLE,RP,FA,34,,,,,,,,,,,,,,,
Cade Cavalli,WSH,SP,FA,26,,,,,,,,,,,,,,,
Nick Sandlin,TOR,RP,FA,28,,,,,,,,,,,,,,,
Triston McKenzie,CLE,SP,FA,27,,,,,,,,,,,,,,,
Seth Halvorsen,COL,RP,FA,25,,,,,,,,,,,,,,,
Drew Smyly,(N/A),RP,FA,35,,,,,,,,,,,,,,,
Trevor Stephan,CLE,RP,FA,29,,,,,,,,,,,,,,,
Trevor Rogers,BAL,SP,FA,27,,,,,,,,,,,,,,,
Dustin May,LAD,SP,FA,27,,,,,,,,,,,,,,,
Osvaldo Bido,ATH,SP,FA,29,,,,,,,,,,,,,,,
Huascar Brazoban,NYM,RP,FA,35,,,,,,,,,,,,,,,
Tristan Beck,SF,SP,FA,28,,,,,,,,,,,,,,,
Michael Fulmer,BOS,RP,FA,31,,,,,,,,,,,,,,,
Alex Faedo,TB,SP,FA,29,,,,,,,,,,,,,,,
Jordan Romano,PHI,RP,FA,31,,,,,,,,,,,,,,,
