Name,OriginalSalary,AdjustedSalary,AuctionSalary
Kutter Crawford ,-10.42346925,-12.96033397,
Jose Berrios,-10.4265179,-13.12310784,10
Drey Jameson ,-10.43018416,-12.96854008,
Trevor Stephan ,-10.63194004,-13.21510086,
Colin Poche ,-10.64633522,-13.23269285,
Ryne Nelson ,-10.65544946,-13.24383113,
Alex Faedo ,-10.67917911,-13.27283054,
Keaton Winn ,-10.6834904,-13.27809925,
Alex Lange ,-10.6918709,-13.28834086,
Sean Reid-Foley ,-10.76462269,-13.37724898,
Collin Snider ,-10.90334993,-13.54678405,
Troy Taylor ,-10.96130519,-13.61760971,
Shelby Miller ,-11.00996774,-13.67707899,
Andrew Chafin ,-11.04924219,-13.7250753,
Kaleb Ort ,-11.22831309,-13.94391334,
Abner Uribe ,-11.26296487,-13.98626041,
Josh Winckowski ,-11.30636389,-14.03929725,
Tristan Beck ,-11.43698234,-14.19892277,
Luis Gonzalez,-11.48584701,-14.25863906,
Daniel Palencia ,-11.50278365,-14.2793369,
Sean Guenther ,-11.50799267,-14.28570271,
Michael McGreevy ,-11.54624272,-14.52440827,7
Connor Thomas ,-11.57581812,-14.36859048,
Bryan Hoeing ,-11.63655961,-14.44282113,
Merrill Kelly ,-11.6798645,-14.49574294,
Brennan Bernardino ,-11.73257931,-14.56016438,
Grant Holmes ,-11.78968774,-14.62995516,
Tony Santillan ,-11.81593575,-14.66203219,
Justin Topa ,-11.84346901,-14.69567989,
Hans Crouse ,-11.85475376,-14.7094707,
Declan Cronin ,-11.88200689,-14.74277606,
David Peterson ,-11.88399535,-14.74520611,
Zack Littell ,-11.93707767,-14.81007667,
Wandy Peralta ,-11.96355484,-14.84243376,
Justin Wilson ,-11.96990826,-14.85019811,
Brendon Little ,-12.02291274,-14.91497356,
Clayton Beeter ,-12.08546999,-14.9914232,
Chris Bassitt ,-12.14928496,-15.06940986,
Landon Knack ,-12.27358139,-15.2213094,
Jose Suarez ,-12.3078445,-15.26318148,
Dylan Floro ,-12.33859118,-15.30075623,
Alex Cobb ,-12.35983285,-15.32671512,
Josh Walker ,-12.45310015,-15.44069474,
Brenan Hanifee ,-12.45840275,-15.44717492,
Bennett Sousa ,-12.47417448,-15.46644916,
Kyle Harrison ,-12.49618284,-15.49334502,
Cionel Perez,-12.55093388,-15.56025488,
Eli Morgan ,-12.55512953,-15.56538228,
Huascar Ynoa ,-12.58059217,-15.59649953,
Bryan Baker ,-12.60599136,-15.62753924,
Jose Ruiz ,-12.61191899,-15.63478325,
Carson Whisenhunt ,-12.67700169,-15.71431918,
Nick Hernandez ,-12.71713825,-15.76336906,
Tommy Nance ,-12.79697898,-15.8609404,
Dauri Moreta ,-12.89806054,-15.98446963,
Randy Rodriguez,-12.94140764,-16.03744302,
Lou Trivino ,-12.9589877,-16.05892718,
Tobias Myers ,-12.96258386,-16.06332195,
Quinn Mathews ,-12.98769063,-16.0940043,
Grant Holman ,-13.00323043,-16.1129951,
Chris Paddack ,-13.10785806,-16.2408579,
Braxton Ashcraft ,-13.27415325,-16.44408305,
Jacob Lopez ,-13.30877849,-16.48639769,
Miguel Castro ,-13.49866127,-16.71844865,
Joey Wentz ,-13.51068513,-16.73314271,
Tyler Mahle ,-13.54843514,-16.77927605,
Jordan Wicks ,-13.551983,-16.78361179,
AJ Smith-Shawver ,-13.56769129,-17.06213348,3.5
Luis Gil ,-13.60931167,-16.85367171,
Yilber Diaz ,-13.61023606,-16.85480139,
Phil Maton ,-13.62186355,-16.86901106,
Kris Bubic ,-13.65561344,-16.91025595,
Max Lazar ,-13.66429479,-16.92086521,
Riley O'Brien ,-13.66959396,-16.92734119,
Carlos Vargas ,-13.71798437,-16.98647788,
Eric Orze ,-13.78081588,-17.06326269,
Gus Varland ,-13.82185216,-17.1134121,
Mitch Keller ,-13.82326728,-17.38371412,9
Steven Matz ,-13.83582072,-17.13048272,
Kody Funderburk ,-13.83846246,-17.13371113,
Jose Soriano ,-13.87605751,-17.17965509,
Scott Alexander ,-13.92070802,-17.23422135,
Jhony Brito ,-13.95492692,-17.2760394,
Jalen Beeks ,-13.95679686,-17.27832461,
Cam Booser ,-13.96164319,-17.2842472,
Tyler Kinley ,-13.99701901,-17.32747909,
Will Warren ,-14.00126825,-17.33267197,
Sam Long ,-14.04712373,-17.3887108,
Devin Sweet ,-14.11420148,-17.47068483,
Justin Anderson ,-14.19157593,-17.5652422,
Zack Thompson ,-14.22694117,-17.60846117,
Nick Robertson ,-14.27426025,-17.66628862,
Jacob Waguespack ,-14.28933193,-17.68470735,
Joey Cantillo ,-14.36604241,-17.77845328,
Walter Pennington ,-14.36634492,-17.77882298,
Shane Smith ,-14.36891696,-17.7819662,
Bryce Elder ,-14.3705762,-17.78399392,
Trevor McDonald ,-14.44591139,-17.87605916,
Hunter Bigge ,-14.4811082,-17.91907229,
DL Hall ,-14.48540452,-17.92432272,
Dane Dunning ,-14.48942869,-17.92924055,
Huascar Brazoban,-14.5073244,-17.95111045,
Adam Ottavino ,-14.5073244,-17.95111045,
Michael Wacha ,-14.62931214,-18.10018859,
Chase Silseth ,-14.66012204,-18.13784059,
Alek Jacob ,-14.69236943,-18.17724932,
Fraser Ellard ,-14.70610461,-18.19403474,
Ron Marinaccio ,-14.71922064,-18.21006351,
James Karinchak ,-14.76123712,-18.26141078,
Drew Smyly ,-14.76654471,-18.26789705,
Mason Englert ,-14.770771,-18.2730619,
Colin Selby ,-14.8057156,-18.31576681,
Nick Anderson ,-14.81553659,-18.3277688,
Tyler Alexander ,-14.84906402,-18.36874183,
Justin Verlander ,-14.86606455,-18.38951774,
T.J. McFarland ,-14.96319778,-18.50822182,
Kenta Maeda ,-14.97402771,-18.5214568,
Ronel Blanco ,-14.98126027,-18.84283094,3
Ronny Henriquez ,-15.08367588,-18.65545507,
Jameson Taillon ,-15.12395793,-18.70468275,
Mason Thompson ,-15.12984502,-18.71187721,
Kyle Leahy ,-15.13693755,-18.72054482,
Mason Black ,-15.1432389,-18.72824554,
JT Brubaker ,-15.27389087,-18.88791202,
Hayden Wesneski ,-15.29219126,-18.91027647,
Graham Ashcraft ,-15.30464115,-18.92549116,
Aaron Civale ,-15.32227118,-18.94703638,
Anthony Veneziano ,-15.3463304,-18.97643854,
Justin Sterner ,-15.36123137,-18.99464864,
Lucas Sims ,-15.40177427,-19.0441951,
Evan Sisk ,-15.4029306,-19.04560822,
Chayce McDermott ,-15.46257223,-19.11849475,
Luis Frias,-15.49649742,-19.15995388,
Cody Bolton ,-15.5438165,-19.21778133,
Mike Vasil ,-15.63836107,-19.33332187,
Stephen Kolek ,-15.68745153,-19.39331407,
Carlos Hernandez,-15.78711458,-19.51510979,
Luis Contreras ,-15.81819707,-19.55309492,
Max Kranick ,-15.85035089,-19.59238928,
Josh Simpson ,-15.86305625,-19.60791618,
Daniel Lynch IV ,-15.86825031,-19.61426372,
Mike Clevinger ,-15.9481875,-19.71195294,
Connor Brogdon ,-15.98277424,-19.75422052,
Cade Cavalli ,-15.98344947,-19.7550457,
Marc Church ,-15.99784592,-19.77263924,
Tyler Gilbert ,-16.04142211,-19.82589261,
Eiberson Castellano ,-16.04209862,-19.82671936,
Tyler Matzek ,-16.08378288,-19.87766064,
Anderson Pilar ,-16.12332793,-19.92598764,
Spencer Bivens ,-16.26106884,-20.09431734,
Brent Suter ,-16.32031322,-20.1667184,
Chris Roycroft ,-16.36691524,-20.22366956,
Michael Petersen ,-16.38748953,-20.24881289,
Mike Burrows ,-16.39772347,-20.26131952,
Cade Povich ,-16.40323645,-20.26805679,
Shane Baz ,-16.46294684,-20.7147566,11
Jacob Latz ,-16.47708438,-20.35830449,
Albert Suarez,-16.49140254,-20.37580236,
Brayan Bello ,-16.49370377,-20.37861464,
Jon Gray ,-16.49964918,-20.38588037,
Tom Cosgrove ,-16.5032956,-20.39033657,
Edgardo Henriquez ,-16.57323461,-20.47580727,
Luarbert Arias ,-16.58337497,-20.48819954,
Casey Mize ,-16.59952827,-20.50794009,
Michael Fulmer ,-16.60454288,-20.51406832,
Spencer Turnbull ,-16.63240696,-20.54812031,
Lake Bachar ,-16.6427229,-20.56072715,
Aaron Ashby ,-16.64962784,-20.5691655,
Jack Dashwood ,-16.71519184,-20.64928962,
