Name,Team,Position,Status,Age,PitchingTeamId,OriginalSalary,AdjustedSalary,AuctionSalary,W,QS,ERA,G,SV,HLD,SVH,IP,SO,K/9,BB/9
Kris Bubic,KC,RP,FA,27,,-13.65561344,-16.91025595,,7,8,4.0665,42,0,1,1,115,109,8.56916,3.20059
Ryan Pressly,CHC,RP,FA,36,,6.963795276,8.288203952,,3,0,3.37857,61,25,5,30,61,63,9.32453,2.69163
Cole Sands,MIN,RP,FA,27,,1.365953635,1.447222717,,4,0,3.66064,64,1,15,16,64,70,9.81355,2.80438
Camilo Doval,SF,RP,FA,27,,5.801145105,6.86735847,,5,0,3.3092,62,10,12,22,62,75,10.9514,4.14132
Kyle Hendricks,LAA,RP,FA,35,,-43.50804458,-53.39215992,,6,10,5.1259,24,0,0,0,127,89,6.33322,2.65518
Keegan Akin,BAL,RP,FA,29,,5.588416681,6.607388423,,3,0,3.4232,70,2,16,18,70,79,10.2067,2.47609
Clayton Kershaw,LAD,SP,FA,36,,-6.335583966,-7.964632348,,5,7,3.80886,13,0,0,0,68,63,8.36371,2.41063
Drew Thorpe,CHW,SP,FA,24,,-26.82992277,-33.01024745,,5,7,4.75673,16,0,0,0,86,68,7.06959,3.24208
Andrew Kittredge,BAL,RP,FA,34,,-0.907152251,-1.330682716,,5,0,3.7593,66,2,13,15,66,61,8.25813,2.40774
Trevor Williams,WSH,SP,FA,32,,-26.0217843,-32.02264178,,6,6,4.53079,53,0,1,1,113,90,7.216,2.84206
Kevin Kelly,TB,RP,FA,27,,-4.547874667,-5.779917854,,3,0,3.63639,53,0,5,5,53,47,8.03268,2.21507
Ryan Fernandez,STL,P,FA,26,,-3.221058228,-4.158448913,,4,0,3.76201,65,1,16,17,65,64,8.86105,3.51053
Chris Paddack,MIN,SP,FA,29,,-13.10785806,-16.2408579,,7,7,4.22044,55,0,1,1,124,115,8.31313,2.26959
Keider Montero,DET,SP,FA,24,,-17.53378504,-21.64967175,,2,2,4.36162,22,0,1,1,42,36,7.63182,3.10999
Carlos Estevez,KC,RP,FA,32,,3.770521686,4.38578475,,5,0,3.86509,64,21,6,27,64,63,8.80185,3.14041
David Robertson,(N/A),RP,FA,39,,-3.198342169,-4.130688189,,4,0,3.49063,57,0,0,0,57,70,11.0243,3.68972
Bubba Chandler,PIT,SP,FA,22,,-24.10447025,-29.6795406,,4,7,4.50682,15,0,0,0,75,65,7.78761,3.65133
Erik Miller,SF,SP,FA,27,,-2.39465903,-3.148527274,,4,0,3.47974,61,1,12,13,61,76,11.189,4.7761
Aaron Ashby,MIL,SP,FA,26,,-16.64962784,-20.5691655,,4,2,4.04021,41,0,1,1,63,62,8.82652,4.61585
Sean Hjelle,SF,RP,FA,27,,-7.470877448,-9.352045908,,3,0,3.8701,66,0,13,13,66,55,7.50498,2.50262
Michael Kopech,LAD,RP,FA,28,,-6.804484827,-8.537664275,,3,0,4.13608,53,3,10,13,53,62,10.5627,4.25913
Johan Oviedo,PIT,SP,FA,27,,-19.87768734,-24.51409569,,4,4,4.31157,32,0,1,1,76,68,8.03365,3.64131
Ben Brown,CHC,SP,FA,25,,-6.062837578,-7.631315859,,3,1,3.59409,31,0,1,1,45,50,10.0604,3.378
Blake Treinen,LAD,RP,FA,36,,8.035484614,9.59788849,,5,0,3.33735,59,6,14,20,59,64,9.69823,2.79242
Mike Clevinger,CHW,SP,FA,34,,-15.9481875,-19.71195294,,2,0,4.61814,44,6,0,6,44,39,7.88521,2.88605
Reed Garrett,NYM,RP,FA,32,,0.974866306,0.969284746,,6,0,3.57601,66,0,15,15,66,77,10.5639,4.05356
Michael Tonkin,MIN,RP,FA,35,,-9.325213654,-11.61818347,,3,0,4.18248,63,0,12,12,63,62,8.89156,3.28568
Alex Vesia,LAD,RP,FA,28,,2.40350708,2.715190641,,4,0,3.53325,58,0,14,14,58,74,11.4191,3.90451
Jose Alvarado,PHI,RP,FA,29,,0.604579121,0.516766106,,4,0,3.31413,60,3,10,13,60,69,10.4143,4.01792
Garrett Whitlock,BOS,SP,FA,28,,2.968153494,3.405230798,,4,0,3.6239,67,2,16,18,67,67,9.06572,2.10601
Pierce Johnson,ATL,RP,FA,33,,-1.114770284,-1.584407483,,5,0,3.60084,64,2,12,14,64,78,10.95,3.76619
