Name,Team,Position,Status,Age,HittingTeamId,OriginalSalary,AdjustedSalary,AuctionSalary,G,PA,AB,H,HR,R,RBI,BB,HBP,SB,AVG
Eli White,ATL,OF,FA,30,,-41.95868166,-51.49872253,,5,21,19,4,0,3,2,2,0,1,0.227831
Sam Huff,SF,C,FA,27,,-35.8523933,-44.03638138,,11,45,41,9,1,4,5,3,0,0,0.221743
Austin Wynns,CIN,C,FA,34,,-37.79578609,-46.41135273,,2,6,6,1,0,1,1,0,0,0,0.229685
CJ Alexander,ATH,3B,FA,28,,-43.61317634,-53.5206388,,2,7,7,1,0,1,1,0,0,0,0.227289
Blake Hunt,SEA,C,FA,26,,-37.79578609,-46.41135273,,2,6,6,1,0,1,1,0,0,0,0.19907
Dustin Harris,TEX,UT,FA,25,,-43.0988067,-52.89204061,,5,21,19,4,0,2,2,2,0,1,0.232941
Riley Adams,WSH,C,FA,28,,-31.33406143,-38.51464182,,29,115,103,23,3,11,13,9,2,1,0.221236
Jakson Reetz,NYM,C,FA,29,,-37.79578609,-46.41135273,,2,6,6,1,0,1,1,1,0,0,0.202183
Jair Camargo,MIN,C,FA,25,,-36.8214421,-45.22063149,,5,19,18,4,1,2,2,1,0,0,0.215563
Seby Zavala,BOS,C,FA,31,,-37.90318066,-46.54259694,,3,13,11,2,0,1,1,1,0,0,0.198859
Chuckie Robinson,LAA,C,FA,30,,-37.79578609,-46.41135273,,2,6,6,1,0,1,1,0,0,0,0.216914
Jacob Hurtubise,CIN,OF,FA,27,,-42.19304924,-51.78513725,,3,14,12,3,0,2,1,1,0,1,0.240364
Jonathan Ornelas,TEX,3B,FA,24,,-43.60885288,-53.5153552,,3,14,13,3,0,1,1,1,0,0,0.227479
Hunter Feduccia,LAD,C,FA,27,,-37.20740732,-45.69230986,,5,19,17,4,0,2,2,2,0,0,0.217746
Cooper Hummel,HOU,OF,FA,30,,-42.96381759,-52.72707382,,2,7,6,1,0,1,1,1,0,0,0.215409
Grae Kessinger,ARI,3B,FA,27,,-40.97103768,-50.2917477,,13,56,50,11,1,6,5,5,0,1,0.214917
Brett Sullivan,SD,C,FA,31,,-37.79578609,-46.41135273,,2,6,6,1,0,1,1,0,0,0,0.223678
Vinny Capra,MIL,3B,FA,28,,-36.45395668,-44.77153682,,29,126,112,27,2,13,12,11,1,2,0.239686
Max Acosta,MIA,"2B,SS",FA,22,,-39.40296101,-48.37544072,,15,63,58,15,1,7,6,4,1,2,0.249701
Travis Bazzana,CLE,2B,FA,22,,-36.71991388,-45.09655642,,36,154,139,28,3,16,15,12,2,2,0.199902
Jac Caglianone,KC,1B,FA,22,,-40.94318341,-50.2577077,,15,63,59,12,1,6,6,3,1,1,0.208746
Jimmy Crooks,STL,C,FA,23,,-37.53657496,-46.09457734,,3,13,11,3,0,1,1,1,0,0,0.242498
Darick Hall,PIT,1B,FA,29,,-38.4433281,-47.20269752,,21,91,82,18,3,9,10,7,1,0,0.224557
Petey Halpin,CLE,OF,FA,22,,-41.38850031,-50.80191827,,6,28,25,6,1,3,3,2,0,0,0.221411
Billy Hamilton,(N/A),OF,FA,34,,-43.26081228,-53.09002355,,3,14,13,2,0,1,1,1,0,0,0.190645
Keston Hiura,COL,2B,FA,28,,-42.04876547,-51.60881168,,5,21,19,5,1,3,3,2,0,0,0.251596
Luke Keaschall,MIN,2B,FA,22,,-40.12608312,-49.25915003,,13,56,49,12,1,7,6,5,1,1,0.249716
Trey Mancini,ARI,"1B,OF",FA,32,,-42.89420657,-52.64200395,,3,14,13,3,0,1,1,1,0,0,0.230708
Jakob Marsee,MIA,OF,FA,23,,-42.14154686,-51.72219748,,5,21,18,4,0,2,2,2,0,1,0.204778
Luis Matos,PHI,OF,FA,25,,-26.22290559,-32.26842706,,55,238,218,54,6,26,27,14,3,3,0.245827
Brice Matthews,HOU,"3B,SS",FA,22,,-42.65399853,-52.34845176,,3,14,12,3,0,2,2,1,0,1,0.21018
Chase Meidroth,CHW,"3B,SS",FA,23,,-25.76175886,-31.70487125,,68,294,247,61,4,35,25,40,5,4,0.245746
Victor Mesa Jr.,MIA,OF,FA,23,,-37.52242519,-46.07728526,,23,98,90,21,2,10,10,6,1,1,0.229655
Kameron Misner,TB,OF,FA,27,,-39.94580799,-49.03884033,,13,56,49,10,1,6,6,6,0,2,0.20437
Yonathan Perlaza,SD,OF,FA,26,,-42.26804424,-51.87678675,,3,14,12,3,0,2,2,1,0,0,0.232955
Pablo Reyes,NYY,3B,FA,31,,-43.31185819,-53.15240547,,2,7,6,2,0,1,1,1,0,0,0.238512
Luke Ritter,NYM,"1B,2B,3B,OF",FA,28,,-42.85193339,-52.59034296,,5,21,18,4,1,2,2,2,0,0,0.195267
Chandler Simpson,TB,OF,FA,24,,-31.53269903,-38.75739184,,26,112,102,29,1,15,10,8,0,11,0.284693
D.J. Stewart,(N/A),"1B,3B",FA,26,,-41.33113832,-50.73181763,,8,35,30,6,1,4,4,4,1,0,0.214131
