Name,Team,Position,Status,Age,HittingTeamId,OriginalSalary,AdjustedSalary,AuctionSalary,G,PA,AB,H,HR,R,RBI,BB,HBP,SB,AVG
Byron Buxton,MIN,OF,FA,31,,7.478173481,8.916812595,,118,511,461,112,25,72,74,37,10,8,0.242244
Nolan Schanuel,LAA,1B,FA,23,,-2.453594224,-3.22055049,,128,553,474,121,14,65,57,65,8,8,0.255479
Jacob Young,WSH,OF,FA,25,,-0.430839879,-0.748593366,,134,581,524,131,5,69,49,37,10,32,0.248955
Ryan Jeffers,MIN,C,FA,27,,-6.005988917,-7.561842542,,100,403,356,84,17,47,52,34,9,2,0.234913
Daulton Varsho,TOR,OF,FA,28,,4.614966378,5.417759333,,138,595,534,119,23,74,75,52,5,13,0.223706
Giancarlo Stanton,NYY,UT,FA,35,,-5.903443018,-7.436523783,,97,420,376,86,25,49,66,40,2,0,0.22905
Matt Vierling,DET,"3B,OF",FA,28,,-10.01276204,-12.45841903,,110,476,431,109,11,56,47,38,4,6,0.25295
Luke Raley,SEA,"1B,OF",FA,30,,-1.939450967,-2.592228968,,112,483,428,100,20,59,63,33,18,10,0.23436
Jo Adell,LAA,OF,BLUE,25,,0.543459383,0.441725159,3,112,483,436,98,23,60,68,36,7,13,0.225957
Ke'Bryan Hayes,PIT,3B,FA,28,,-1.667493892,-2.259877079,,136,588,538,137,11,64,59,41,4,15,0.2541
Jeimer Candelario,CIN,"1B,3B",FA,31,,-1.478874134,-2.029369625,,120,518,466,113,20,61,68,40,8,4,0.242239
Colt Keith,DET,2B,FA,23,,1.421141955,1.514666973,,126,546,494,129,16,67,69,45,3,4,0.261548
Orlando Arcia,ATL,SS,FA,30,,-5.668229461,-7.149075221,,138,595,541,127,17,63,66,44,3,2,0.233869
Ryan O'Hearn,BAL,"1B,OF",FA,31,,-6.199784283,-7.798674976,,94,406,369,99,15,50,54,31,3,3,0.267315
Matt Wallner,MIN,OF,FA,27,,0.640697453,0.56090541,,120,518,448,106,22,66,67,52,14,5,0.236299
Brandon Marsh,PHI,OF,FA,27,,0.793895408,0.74812477,,125,539,475,117,15,64,63,55,4,16,0.247237
Andrew Benintendi,CHW,OF,FA,30,,-7.899147589,-9.875424058,,107,462,415,108,12,53,50,40,2,6,0.261019
J.D. Martinez,(N/A),UT,FA,37,,-17.63473179,-21.77303623,,86,371,331,78,13,41,46,34,3,0,0.236139
Austin Wells,NYY,C,FA,25,,-3.353145299,-4.319869194,,117,462,407,94,17,52,59,45,6,4,0.230171
Brandon Lowe,TB,2B,FA,30,,5.376934802,6.348941746,,123,532,471,113,25,72,74,50,7,6,0.240447
Nick Gonzales,PIT,2B,FA,25,,-5.867764346,-7.392921776,,117,504,456,120,10,58,59,35,8,5,0.262205
Joey Ortiz,MIL,3B,FA,26,,3.529158449,4.090820819,,146,630,561,140,14,74,71,55,6,12,0.250247
TJ Friedl,CIN,OF,FA,29,,4.75121238,5.58426214,,131,567,499,124,17,71,66,48,12,16,0.247811
Jake Meyers,HOU,OF,FA,28,,-10.15306479,-12.62987949,,105,455,410,98,12,51,52,33,7,9,0.237968
Sal Frelick,MIL,OF,FA,24,,-9.31077366,-11.60053671,,104,448,405,108,6,53,43,35,5,13,0.267336
Jonah Heim,TEX,C,FA,29,,-16.00745642,-19.78438399,,84,333,305,71,10,35,40,23,2,1,0.232566
Josh Rojas,CHW,3B,FA,30,,-20.88740696,-25.7480486,,79,343,304,73,7,39,31,33,2,9,0.239509
Christian Encarnacion-Strand,CIN,1B,FA,25,,-9.084106745,-11.32353279,,84,364,334,86,16,45,55,23,5,2,0.257304
Lars Nootbaar,STL,OF,FA,27,,2.493228082,2.824836418,,125,539,460,115,19,69,63,71,2,9,0.249277
Mike Yastrzemski,SF,OF,FA,34,,-8.197422181,-10.23993792,,115,497,441,99,17,60,57,47,6,4,0.2237
Mickey Moniak,LAA,OF,FA,26,,-20.67231141,-25.48518574,,68,294,275,64,11,33,36,14,3,5,0.233586
