Name,OriginalSalary,AdjustedSalary,AuctionSalary
Garrett Stubbs ,-37.20740732,-45.69230986,
Luke Maile ,-37.20740732,-45.69230986,
Omar Narvaez,-37.20740732,-45.69230986,
Tomas Nido,-37.30220737,-45.80816262,
Tyler Locklear ,-37.31820308,-45.82771057,
Max Schuemann ,-37.41029209,-45.94025022,
Victor Mesa Jr. ,-37.52242519,-46.07728526,
Jared Serna ,-37.53591416,-46.0937698,
Jimmy Crooks ,-37.53657496,-46.09457734,
J.D. Davis ,-37.62058175,-46.19723992,
Taylor Trammell ,-37.63016881,-46.20895604,
Joe Mack ,-37.63137501,-46.2104301,
Reese McGuire ,-37.63137501,-46.2104301,
Tim Anderson ,-37.6390455,-46.21980401,
Greg Jones ,-37.65721448,-46.24200787,
Blake Hunt ,-37.79578609,-46.41135273,
Cesar Salazar ,-37.79578609,-46.41135273,
Rene Pinto ,-37.79578609,-46.41135273,
Chuckie Robinson ,-37.79578609,-46.41135273,
Brett Sullivan ,-37.79578609,-46.41135273,
Jakson Reetz ,-37.79578609,-46.41135273,
Austin Wynns ,-37.79578609,-46.41135273,
Seby Zavala ,-37.90318066,-46.54259694,
Dom Nunez,-37.90318066,-46.54259694,
Curt Casali ,-37.90318066,-46.54259694,
Tucker Barnhart ,-38.04948311,-46.72138947,
Robert Hassell III ,-38.40219574,-47.15243069,
Graham Pauley ,-38.41840055,-47.17223418,
Gavin Sheets ,-38.43276106,-47.1897838,
Darick Hall ,-38.4433281,-47.20269752,
Nick Pratto ,-38.54624408,-47.32846854,
Emmanuel Rodriguez ,-38.62483641,-50.19472779,4.5
Nathan Lukes ,-38.66850965,-47.47788621,
Dominic Canzone ,-38.71876116,-47.53929731,
Curtis Mead ,-38.72103652,-47.54207798,
Jon Singleton ,-38.84884168,-47.69826544,
Gage Workman ,-39.0725425,-47.97164457,
Michael Helman ,-39.14682247,-48.06242026,
Dominic Fletcher ,-39.21872574,-48.15029143,
Manuel Margot ,-39.364283,-48.32817329,
Max Acosta ,-39.40296101,-48.37544072,
DaShawn Keirsey Jr. ,-39.73136433,-48.77677413,
Brett Baty ,-39.78487707,-48.84217071,
Yuli Gurriel ,-39.81817725,-48.88286602,
Leo Rivas ,-39.87831223,-48.95635546,
Myles Straw ,-39.93469097,-49.0252545,
Kameron Misner ,-39.94580799,-49.03884033,
Ronny Mauricio ,-40.00518864,-52.08391058,2
Brandon Lockridge ,-40.05467236,-49.17188074,
Kevin Alcantara,-40.06005635,-52.15915974,3
Luke Keaschall ,-40.12608312,-49.25915003,
Cal Stevenson ,-40.23167796,-49.38819481,
Jonatan Clase ,-40.40194864,-49.59627832,
Max Muncy ,-40.44553501,-49.64954413,
Casey Schmitt ,-40.52100563,-49.74177488,
Vaughn Grissom ,-40.55005082,-49.77727027,
Marco Luciano ,-40.64187004,-49.88948022,
Miguel Sano,-40.80395846,-50.08756439,
Oscar Gonzalez ,-40.86299764,-50.1597147,
Hao-Yu  Lee ,-40.87921846,-50.17953775,
Everson Pereira ,-40.90091133,-50.20604806,
Leo Jimenez,-40.90793495,-50.21463145,
Jac Caglianone ,-40.94318341,-50.2577077,
Grae Kessinger ,-40.97103768,-50.2917477,
Owen Caissie ,-41.05933267,-53.53172575,4
Tyler Gentry ,-41.05933267,-50.39965079,
Dylan Carlson ,-41.05933267,-50.39965079,
Matt Duffy ,-41.14550169,-50.50495578,
Aledmys Diaz,-41.14669234,-50.50641084,
Buddy Kennedy ,-41.15054849,-50.51112334,
Kevin Pillar ,-41.15460835,-50.51608479,
Brewer Hicklen ,-41.17271698,-50.5382149,
Luke Williams ,-41.211395,-50.58548233,
Adael Amador ,-41.22649473,-50.60393533,
DJ Stewart ,-41.33113832,-50.73181763,
Petey Halpin ,-41.38850031,-50.80191827,
Pedro Leon,-41.426414,-50.84825163,
Dominic Smith ,-41.4436159,-50.86927364,
Nick Kurtz ,-41.49511829,-50.93221341,
Alexander Canario ,-41.501409,-50.93990113,
Austin Shenton ,-41.51322692,-50.95434352,
Shay Whitcomb ,-41.6879005,-51.16780769,
Zach Dezenzo ,-41.74086438,-51.23253351,
Jake Bauers ,-41.78550819,-51.2870916,
Brady House ,-41.80349148,-51.30906852,
Marcelo Mayer ,-41.86925465,-54.64712162,8
Liover Peguero ,-41.86925465,-51.38943604,
Tim Elko ,-41.93719462,-51.47246376,
J.C. Escarra ,-41.94392953,-51.48069433,
Eli White ,-41.95868166,-51.49872253,
Keston Hiura ,-42.04876547,-51.60881168,
Trey Lipscomb ,-42.1203213,-51.69625826,
Jakob Marsee ,-42.14154686,-51.72219748,
Luis Guillorme ,-42.16315166,-51.74860016,
Blake Dunn ,-42.19304924,-51.78513725,
Jacob Hurtubise ,-42.19304924,-51.78513725,
Matt Koperniak ,-42.19843322,-51.79171687,
Scott Kingery ,-42.23586036,-51.83745564,
Travis Jankowski ,-42.23634691,-51.83805024,
Andres Chaparro ,-42.2509601,-51.85590864,
Yonathan Perlaza ,-42.26804424,-51.87678675,
James Outman ,-42.26804424,-51.87678675,
Rowdy Tellez ,-42.28447089,-51.89686134,
Ji Hwan Bae ,-42.2878493,-51.90099001,
Darren Baker ,-42.38492472,-52.01962343,
Kody Clemens ,-42.41537117,-52.05683127,
Miles Mastrobuoni ,-42.50891689,-52.17115114,
Carlos D. Rodriguez ,-42.59721188,-52.27905423,
Gustavo Campero ,-42.59721188,-52.27905423,
