Name,G,PA,AB,H,HR,R,RBI,BB,HBP,SB,AVG
Luis García Jr.,125,539,503,138,16,62,66,30,1,15,0.27325
Brice Turang,134,581,523,133,10,67,55,50,2,36,0.253569
Iván Herrera,100,398,343,87,9,48,43,46,5,6,0.254032
Parker Meadows,125,539,481,113,15,65,59,48,4,19,0.234297
Christian Yelich,133,574,494,131,17,81,65,72,4,23,0.264619
Vinnie Pasquantino,146,630,559,148,25,75,90,58,6,2,0.265721
Joey Ortiz,146,630,561,140,14,74,71,55,6,12,0.250247
Tyler O'Neill,110,476,419,101,24,64,66,48,6,6,0.240829
Bryan Reynolds,149,644,573,151,22,80,80,57,9,8,0.264151
Maikel Garcia,138,595,541,140,8,73,56,45,2,30,0.258191
Jackson Holliday,109,469,402,93,11,68,50,60,3,8,0.23242
Evan Carter,120,518,449,108,14,65,59,58,7,12,0.239605
Josh Jung,136,588,545,137,22,68,77,32,6,5,0.250464
Eugenio Suárez,141,609,537,125,23,70,78,56,10,2,0.233465
Ryan McMahon,147,637,562,136,22,76,73,67,4,6,0.242531
Matt Shaw,120,518,463,115,16,62,64,43,7,17,0.248431
Nick Gonzales,117,504,456,120,10,58,59,35,8,5,0.262205
Victor Robles,128,553,488,123,8,68,48,40,14,36,0.251506
Seiya Suzuki,130,560,491,130,21,71,72,60,5,11,0.264408
Triston Casas,139,602,514,127,27,76,84,80,4,1,0.246041
Lane Thomas,139,602,539,131,19,75,71,50,7,24,0.242669
Ke'Bryan Hayes,136,588,538,137,11,64,59,41,4,15,0.2541
Paul Goldschmidt,147,637,568,143,25,79,86,61,4,9,0.251273
Marcell Ozuna,154,665,593,153,33,85,100,64,4,1,0.258665
Willson Contreras,139,602,517,125,24,74,77,64,18,6,0.242202
Jake Cronenworth,144,623,549,132,15,71,69,56,12,4,0.240274
Jasson Domínguez,136,588,525,132,21,77,72,56,2,23,0.252068
Nathaniel Lowe,144,623,547,147,18,70,73,68,5,2,0.26801
Jeff McNeil,123,532,481,128,10,60,55,35,11,5,0.265819
TJ Friedl,131,567,499,124,17,71,66,48,12,16,0.247811
Adolis García,143,616,558,133,29,77,89,46,6,12,0.238169
Logan O'Hoppe,115,461,413,100,20,54,58,37,7,3,0.240968
Joc Pederson,105,455,390,98,22,61,66,51,11,5,0.250645
Luis Arraez,151,651,603,185,8,81,60,37,6,7,0.306484
Tyler Fitzgerald,136,588,536,125,20,73,73,39,9,19,0.233973
Jake Meyers,105,455,410,98,12,51,52,33,7,9,0.237968
Jesús Sánchez,125,539,486,125,21,63,71,45,5,10,0.256441
Ryan Jeffers,100,403,356,84,17,47,52,34,9,2,0.234913
Jonathan India,139,602,514,129,13,79,57,66,15,12,0.250854
Garrett Mitchell,110,476,422,102,15,60,60,46,5,20,0.242181
Salvador Perez,149,612,563,147,26,66,88,33,11,0,0.260858
George Springer,141,609,543,131,20,76,70,56,6,14,0.242127
Otto Lopez,112,483,444,122,6,54,46,31,4,16,0.275458
Wilyer Abreu,110,476,418,102,16,60,59,51,3,9,0.243346
Tyler Stephenson,121,490,436,112,15,59,61,45,6,1,0.257764
Kyle Isbel,126,546,495,120,12,70,57,37,6,15,0.241897
Jonny DeLuca,113,490,443,103,15,55,57,36,7,16,0.232315
Connor Norby,136,588,531,132,18,78,67,47,5,9,0.248393
Heliot Ramos,139,602,547,137,22,72,78,45,5,7,0.25127
Michael Massey,120,518,478,123,17,60,65,28,6,4,0.257093
Josh Naylor,141,609,547,146,23,72,93,50,6,7,0.266271
Jose Trevino,66,262,242,59,7,28,30,16,2,2,0.245553
Danny Jansen,91,359,314,71,15,43,44,36,6,0,0.224942
Michael Busch,128,553,485,116,20,71,69,58,7,2,0.239865
Jorge Polanco,126,546,482,108,19,60,62,56,4,5,0.224439
Trevor Story,141,609,548,123,17,68,68,50,7,23,0.22526
Spencer Horwitz,102,441,378,102,10,53,47,53,6,2,0.270251
Jacob Young,134,581,524,131,5,69,49,37,10,32,0.248955
Jake McCarthy,120,518,466,124,9,64,57,37,10,26,0.266401
Colt Keith,126,546,494,129,16,67,69,45,3,4,0.261548
Brooks Lee,113,490,449,112,11,53,55,35,2,6,0.249374
Jonah Heim,84,333,305,71,10,35,40,23,2,1,0.232566
Jake Burger,143,616,564,137,32,75,93,36,10,2,0.24338
Dylan Crews,134,581,526,129,15,70,65,40,9,25,0.245776
Luke Raley,112,483,428,100,20,59,63,33,18,10,0.23436
Chas McCormick,104,448,399,96,14,53,54,36,7,13,0.241134
Dylan Moore,94,406,346,72,11,49,40,45,11,25,0.207882
