Name,G,PA,AB,H,HR,R,RBI,BB,HBP,SB,AVG
Luke Keaschall,13,56,49,12,1,7,6,5,1,1,0.249716
Nathan Lukes,15,63,57,15,1,7,7,5,1,1,0.268816
Max Schuemann,26,112,97,21,2,13,10,11,2,3,0.218233
Sam Hilliard,57,245,218,51,10,31,30,23,1,6,0.233736
Mitch Haniger,94,406,365,80,14,45,46,34,4,1,0.219353
David Hamilton,18,77,69,16,2,10,8,7,0,6,0.228469
Kevin Newman,52,224,207,51,3,23,19,12,2,5,0.244746
Eric Haase,32,128,117,25,5,14,17,9,1,1,0.21688
Leo Rivas,16,70,59,13,1,8,5,9,1,3,0.216452
Leo Jiménez,11,49,42,10,1,6,5,4,2,0,0.234991
Brett Baty,13,56,50,12,2,6,7,5,1,0,0.238722
Elias Díaz,78,307,283,64,8,29,33,20,2,0,0.226472
Mark Canha,36,154,132,32,3,17,15,15,5,2,0.242025
Nelson Velázquez,29,126,113,26,5,15,16,11,1,2,0.230273
Drew Waters,19,84,75,18,2,11,9,7,1,3,0.236977
Tyler Locklear,23,98,86,19,3,11,11,8,2,1,0.223538
Sean Bouchard,36,154,134,33,5,19,19,16,2,3,0.24445
Vaughn Grissom,11,49,44,11,1,6,5,4,1,1,0.262566
Blake Sabol,15,58,51,12,1,6,7,5,1,1,0.237963
Jordan Beck,94,406,367,90,11,45,45,34,2,9,0.244573
Drew Millas,11,45,40,10,1,5,5,4,0,1,0.242011
Dominic Canzone,13,56,51,12,2,7,7,4,0,1,0.241076
Adam Frazier,53,231,209,51,3,25,20,17,3,4,0.243789
Deyvison De Los Santos,81,350,329,82,15,40,45,16,3,1,0.250589
Henry Davis,18,72,63,14,2,8,8,7,2,1,0.22866
Hao-Yu  Lee,10,42,38,10,1,5,4,3,0,1,0.253496
Curtis Mead,16,70,63,16,2,8,8,5,1,1,0.257357
Chadwick Tromp,13,51,47,11,1,5,5,4,0,0,0.228445
Matt Mervis,92,399,356,81,14,42,47,34,6,2,0.22779
Matt Thaiss,28,109,94,20,2,11,10,13,1,1,0.212911
Tom Murphy,36,146,129,29,4,15,15,14,1,1,0.222408
Gage Workman,16,70,64,14,2,8,8,5,0,2,0.221982
Jared Serna,23,98,89,21,2,11,10,6,1,2,0.231191
Max Muncy,13,56,51,12,1,6,6,4,1,1,0.229239
Logan Driscoll,8,32,29,7,1,3,3,2,0,0,0.233291
David Peralta,50,217,197,49,5,22,23,16,2,1,0.246202
Korey Lee,47,186,174,38,6,19,19,10,1,3,0.22123
Ronny Mauricio,11,49,46,11,2,6,6,3,0,1,0.240991
Jacob Stallings,75,294,260,60,6,28,31,27,5,1,0.229564
Griffin Conine,75,322,288,64,11,34,38,28,3,0,0.220671
Tim Anderson,24,105,99,26,1,11,8,4,1,2,0.259538
Billy Cook,21,91,83,19,3,10,10,6,1,3,0.230796
Casey Schmitt,11,49,45,11,1,5,6,3,1,1,0.243033
Sam Huff,11,45,41,9,1,4,5,3,0,0,0.221743
Grant McCray,28,119,108,24,3,14,13,9,1,4,0.223524
DaShawn Keirsey Jr.,11,49,45,11,1,5,5,3,1,2,0.243982
Manuel Margot,13,56,51,13,1,6,6,4,0,1,0.261212
Buddy Kennedy,11,49,43,10,1,6,5,5,1,0,0.235425
Brandon Drury,58,252,230,53,8,26,28,17,3,1,0.22988
Max Acosta,15,63,58,15,1,7,6,4,1,2,0.249701
Noelvi Marte,36,154,142,34,4,17,16,9,1,5,0.241933
Kameron Misner,13,56,49,10,1,6,6,6,0,2,0.20437
Eric Wagaman,34,147,135,34,4,16,16,10,1,2,0.247959
Dylan Carlson,8,35,31,7,1,4,4,3,1,0,0.238622
Myles Straw,16,70,63,14,0,7,5,6,0,3,0.22783
Shay Whitcomb,8,35,32,7,1,4,4,2,0,1,0.230362
J.C. Escarra,8,32,29,6,1,4,3,3,0,0,0.223631
Luis Guillorme,10,42,37,9,0,4,3,5,0,1,0.243097
Vidal Bruján,26,112,100,23,2,13,10,9,1,4,0.22639
Victor Mesa Jr.,23,98,90,21,2,10,10,6,1,1,0.229655
Adam Duvall,36,154,141,30,6,16,20,10,2,1,0.209234
Jeferson Quero,6,26,23,5,1,3,3,2,0,0,0.229252
Juan Yepez,23,98,89,22,3,11,12,8,1,1,0.247721
Marcelo Mayer,6,28,26,6,1,3,3,2,0,1,0.244283
Robbie Grossman,28,119,102,22,2,13,11,15,1,1,0.221008
Joey Wiemer,34,147,131,28,3,16,14,14,1,4,0.217698
Cal Stevenson,10,42,36,8,1,5,4,6,0,2,0.226555
Tyler Wade,24,105,94,21,1,13,8,8,1,6,0.224651
Jose Herrera,19,77,68,15,1,8,6,7,0,0,0.222065
Austin Shenton,8,35,31,7,1,4,4,4,0,0,0.214888
Brandon Lockridge,10,42,38,9,1,5,4,4,0,2,0.23599
Kevin Alcántara,11,49,45,11,1,5,5,3,0,1,0.237862
Weston Wilson,19,84,75,16,3,10,10,8,0,2,0.219704
Bryan Ramos,28,119,109,25,4,12,13,8,2,1,0.225759
J.D. Davis,26,112,100,22,3,11,12,10,1,0,0.223889
Jonatan Clase,8,35,31,7,1,4,4,3,0,2,0.22047
Brett Harris,5,21,18,4,0,2,2,2,0,0,0.225587
Luken Baker,29,126,111,24,5,13,17,13,1,0,0.215367
Bryan De La Cruz,26,112,104,26,4,12,14,7,1,1,0.247243
Oscar Colás,44,189,172,41,5,20,20,14,2,3,0.236893
Tyler Gentry,8,35,31,7,1,4,4,3,0,0,0.233904
Miles Mastrobuoni,6,28,25,6,0,3,2,3,0,1,0.234235
Jair Camargo,5,19,18,4,1,2,2,1,0,0,0.215563
Nacho Alvarez Jr.,5,21,19,5,0,2,2,2,0,0,0.246038
Jimmy Crooks,3,13,11,3,0,1,1,1,0,0,0.242498
Zach Dezenzo,5,21,19,5,1,3,3,2,0,0,0.245126
Riley Adams,29,115,103,23,3,11,13,9,2,1,0.221236
Travis Bazzana,36,154,139,28,3,16,15,12,2,2,0.199902
Yuli Gurriel,13,56,51,13,1,6,6,5,0,1,0.253962
Jason Delay,5,19,17,4,0,2,2,1,0,0,0.232587
Owen Caissie,8,35,31,7,1,4,4,3,0,0,0.238193
Michael Helman,15,63,57,13,2,7,7,5,1,2,0.22557
Tomás Nido,5,19,18,4,0,2,2,1,0,0,0.235163
Jon Singleton,19,84,72,15,3,9,9,11,0,0,0.210876
Everson Pereira,6,28,26,6,1,3,4,2,0,1,0.234248
James Outman,3,14,12,3,0,2,2,1,0,0,0.220417
Wade Meckler,3,14,13,3,0,2,1,1,0,0,0.266007
Brewer Hicklen,6,28,25,5,1,3,4,3,1,1,0.203266
Liover Peguero,6,28,26,6,1,3,3,2,0,1,0.235471
Luke Ritter,5,21,18,4,1,2,2,2,0,0,0.195267
Brady House,8,35,33,7,1,4,4,2,0,0,0.229349
Graham Pauley,21,91,82,18,2,10,10,7,1,1,0.223924
Ji Hwan Bae,3,14,13,3,0,2,1,1,0,1,0.257544
Hunter Feduccia,5,19,17,4,0,2,2,2,0,0,0.217746
Nick Kurtz,8,35,32,8,1,4,3,2,0,0,0.253041
Keston Hiura,5,21,19,5,1,3,3,2,0,0,0.251596
Joe Mack,3,13,12,3,0,1,1,1,0,0,0.219515
Luke Williams,8,35,32,7,1,4,4,3,0,2,0.225981
Yonathan Perlaza,3,14,12,3,0,2,2,1,0,0,0.232955
Matt Koperniak,5,21,19,5,0,2,2,1,0,0,0.250925
Oscar Gonzalez,6,28,26,7,1,3,4,1,0,0,0.252364
Jorbit Vivas,3,14,12,3,0,2,1,1,0,0,0.222071
Pedro León,6,28,25,5,1,3,3,2,1,1,0.214346
Rowdy Tellez,5,21,19,4,1,2,3,2,0,0,0.235476
Dominic Fletcher,18,77,70,17,1,8,7,5,1,0,0.236392
Nasim Nuñez,5,21,18,4,0,2,1,2,0,1,0.219424
Adael Amador,8,35,31,8,1,4,4,3,0,1,0.241964
Cavan Biggio,5,21,18,4,0,2,2,3,0,0,0.210868
Enmanuel Valdez,3,14,13,3,0,2,2,1,0,0,0.233149
Petey Halpin,6,28,25,6,1,3,3,2,0,0,0.221411
Tim Tawa,5,21,19,4,1,2,2,1,0,0,0.226814
Andrew McCutchen,105,455,393,90,14,52,48,54,5,5,0.227743
Greg Jones,15,63,57,13,2,8,7,4,1,4,0.233659
Nick Maton,3,14,12,3,0,2,1,2,0,0,0.219446
Kody Clemens,5,21,19,4,1,3,3,1,0,0,0.227744
Eli White,5,21,19,4,0,3,2,2,0,1,0.227831
César Salazar,2,6,6,1,0,1,1,1,0,0,0.215963
Trey Lipscomb,8,35,33,8,0,3,3,2,0,1,0.242517
Brice Matthews,3,14,12,3,0,2,2,1,0,1,0.21018
Seby Zavala,3,13,11,2,0,1,1,1,0,0,0.198859
Scott Kingery,6,28,26,5,1,3,3,2,0,1,0.215052
Jakob Marsee,5,21,18,4,0,2,2,2,0,1,0.204778
Nick Pratto,19,84,74,16,2,10,9,8,1,1,0.221336
Blake Dunn,3,14,12,3,0,2,1,1,0,1,0.229025
Reese McGuire,3,13,12,3,0,1,1,1,0,0,0.217654
Andrés Chaparro,6,28,25,6,1,3,3,2,0,0,0.241721
Omar Narváez,5,19,17,4,0,2,2,2,0,0,0.217343
Alexander Canario,6,28,25,5,1,3,4,2,0,0,0.209498
Jakson Reetz,2,6,6,1,0,1,1,1,0,0,0.202183
Isaac Collins,2,7,6,1,0,1,1,1,0,0,0.222393
Jacob Hurtubise,3,14,12,3,0,2,1,1,0,1,0.240364
Curt Casali,3,13,11,2,0,1,1,1,0,0,0.216934
Jacob Amaya,3,14,13,3,0,1,1,1,0,0,0.216141
Luke Maile,5,19,17,4,0,2,2,2,0,0,0.213234
Pablo Reyes,2,7,6,2,0,1,1,1,0,0,0.238512
Kevin Pillar,6,28,26,6,1,3,3,1,1,1,0.2284
Darren Baker,6,28,26,7,0,3,2,2,0,1,0.254566
Bryce Eldridge,21,91,82,20,3,10,11,7,1,1,0.237965
Mike Brosseau,3,14,13,3,0,1,2,1,0,0,0.217231
Jahmai Jones,2,7,6,1,0,1,1,1,0,0,0.226667
Travis Jankowski,5,21,19,4,0,2,2,2,0,1,0.232898
David Bañuelos,2,6,6,1,0,1,1,0,0,0,0.200975
Mason McCoy,3,14,13,3,0,1,1,1,0,0,0.201768
Dominic Smith,10,42,38,9,1,4,4,3,1,0,0.235834
José Fermín,2,7,6,1,0,1,1,1,0,0,0.236873
Gustavo Campero,2,7,6,2,0,1,1,0,0,0,0.242285
Jonathan Ornelas,3,14,13,3,0,1,1,1,0,0,0.227479
Jorge Barrosa,2,7,6,1,0,1,1,1,0,0,0.232637
Owen Miller,2,7,6,2,0,1,1,0,0,0,0.263117
Nicky Lopez,2,7,6,2,0,1,0,1,0,0,0.243826
Garrett Stubbs,5,19,17,4,0,2,2,2,0,0,0.209952
Nick Sogard,2,7,6,1,0,1,1,1,0,0,0.241237
Niko Kavadas,3,14,12,2,1,2,2,2,0,0,0.196592
Austin Wynns,2,6,6,1,0,1,1,0,0,0,0.229685
Ryan Kreidler,2,7,6,1,0,1,1,1,0,0,0.19752
Cooper Hummel,2,7,6,1,0,1,1,1,0,0,0.215409
Brett Sullivan,2,6,6,1,0,1,1,0,0,0,0.223678
Justin Foscue,2,7,6,1,0,1,1,1,0,0,0.224825
Osleivis Basabe,2,7,6,2,0,1,1,0,0,0,0.249341
Chuckie Robinson,2,6,6,1,0,1,1,0,0,0,0.216914
Dom Nuñez,3,13,11,2,0,1,1,1,0,0,0.178053
Cooper Bowman,2,7,6,1,0,1,1,1,0,0,0.221471
Ryan Noda,2,7,6,1,0,1,1,1,0,0,0.197394
DJ Stewart,8,35,30,6,1,4,4,4,1,0,0.214131
Braden Shewmake,2,7,7,1,0,1,1,0,0,0,0.219656
Carlos D. Rodriguez,2,7,6,2,0,1,1,1,0,0,0.260318
Blake Hunt,2,6,6,1,0,1,1,0,0,0,0.19907
Steward Berroa,2,7,6,1,0,1,1,1,0,0,0.220589
René Pinto,2,6,6,1,0,1,1,0,0,0,0.215214
CJ Alexander,2,7,7,1,0,1,1,0,0,0,0.227289
Matthew Lugo,2,7,6,1,0,1,1,0,0,0,0.230851
Dustin Harris,5,21,19,4,0,2,2,2,0,1,0.232941
Grae Kessinger,13,56,50,11,1,6,5,5,0,1,0.214917
Tyler Callihan,2,7,6,1,0,1,1,0,0,0,0.225982
Marco Luciano,15,63,56,12,1,7,6,6,0,1,0.219799
Nick Ahmed,2,7,7,1,0,1,1,0,0,0,0.21502
Jake Bauers,6,28,24,5,1,3,3,3,0,1,0.202086
Tucker Barnhart,2,6,6,1,0,1,0,1,0,0,0.200337
Gavin Sheets,19,84,76,18,2,8,9,7,1,0,0.234845
Garrett Cooper,2,7,6,1,0,1,1,1,0,0,0.235872
Miguel Sanó,10,42,37,8,2,5,5,4,0,0,0.209651
Stone Garrett,2,7,6,1,0,1,1,1,0,0,0.224747
Darick Hall,21,91,82,18,3,9,10,7,1,0,0.224557
Trey Mancini,3,14,13,3,0,1,1,1,0,0,0.230708
Aledmys Díaz,13,56,52,12,1,5,6,3,1,0,0.226938
Tim Elko,6,28,26,6,1,3,3,1,0,0,0.23933
Blaze Alexander,29,126,113,26,2,13,13,9,2,2,0.227559
Matt Duffy,13,56,51,12,1,5,5,4,1,0,0.23336
Zac Veen,31,133,119,28,3,15,14,11,1,6,0.235182
Billy Hamilton,3,14,13,2,0,1,1,1,0,0,0.190645
Martín Maldonado,8,32,29,5,1,3,3,2,0,0,0.172999
Robert Hassell III,24,105,95,21,1,10,9,8,1,2,0.22043
Kris Bryant,110,476,422,103,13,53,53,42,9,1,0.245028
Jac Caglianone,15,63,59,12,1,6,6,3,1,1,0.208746
