Name,Team,Position,Status,Age,OriginalSalary,AdjustedSalary,AuctionSalary,G,PA,AB,H,HR,R,RBI,BB,HBP,SB,AVG,HittingTeamId
Carlos Irigoyen,DET,SS,FA,23,,,,,,,,,,,,,,,
Ike Irish,(N/A),C,FA,21,,,,,,,,,,,,,,,
Xavier Isaac,TB,1B,BLUE,21,,,,,,,,,,,,,,,
Todd Isaacs,CLE,OF,FA,28,,,,,,,,,,,,,,,
Ibandel Isabel,LAA,1B,FA,29,,,,,,,,,,,,,,,
David Isea,COL,C,FA,18,,,,,,,,,,,,,,,
Alex Isola,MIN,"1B,OF",FA,26,,,,,,,,,,,,,,,
Bobby Ison,CLE,OF,FA,31,,,,,,,,,,,,,,,
Eddy Isturiz,CIN,C,FA,21,,,,,,,,,,,,,,,
Nieves Izaguirre,PHI,SS,FA,17,,,,,,,,,,,,,,,
Jose Izarra,LAD,SS,FA,22,,,,,,,,,,,,,,,
Cesar Izturis Jr.,SEA,SS,FA,25,,,,,,,,,,,,,,,
Luis Izturis,LAD,3B,FA,23,,,,,,,,,,,,,,,
Victor Izturis,CLE,C,FA,19,,,,,,,,,,,,,,,
Bralin Jackson,TB,OF,FA,31,,,,,,,,,,,,,,,
Christian Jackson,ATL,OF,FA,21,,,,,,,,,,,,,,,
Daniel Jackson,(N/A),C,FA,20,,,,,,,,,,,,,,,
Drew Jackson,SF,SS,FA,31,,,,,,,,,,,,,,,
Isaiah Jackson,(N/A),OF,FA,20,,,,,,,,,,,,,,,
Jeremiah Jackson,BAL,"3B,SS",FA,24,,,,,,,,,,,,,,,
JoJo Jackson,NYY,OF,FA,22,,,,,,,,,,,,,,,
Kevon Jackson,KC,OF,FA,24,,,,,,,,,,,,,,,
Ryan Jackson,SD,3B,FA,23,,,,,,,,,,,,,,,
Vincent Jackson,STL,OF,FA,31,,,,,,,,,,,,,,,
David Jacob,TOR,1B,FA,29,,,,,,,,,,,,,,,
Brandon Jacobs,ARI,OF,FA,34,,,,,,,,,,,,,,,
Chris Jacobs,LAD,1B,FA,36,,,,,,,,,,,,,,,
Eric Jagielo,MIA,"1B,3B",FA,32,,,,,,,,,,,,,,,
Brandon Jaime,CIN,C,FA,20,,,,,,,,,,,,,,,
Coy James,(N/A),SS,FA,18,,,,,,,,,,,,,,,
Jared James,ATL,OF,FA,31,,,,,,,,,,,,,,,
Jiwan James,PHI,OF,FA,35,,,,,,,,,,,,,,,
Kamren James,TB,C,FA,24,,,,,,,,,,,,,,,
Lyonell James,BOS,SS,FA,22,,,,,,,,,,,,,,,
Michael James,COL,SS,FA,23,,,,,,,,,,,,,,,
Justin Janas,ATL,1B,FA,24,,,,,,,,,,,,,,,
Walker Janek,HOU,C,FA,22,,,,,,,,,,,,,,,
Camden Janik,PIT,C,FA,22,,,,,,,,,,,,,,,
Ryan January,(N/A),OF,FA,27,,,,,,,,,,,,,,,
Mason Janvrin,BAL,OF,FA,27,,,,,,,,,,,,,,,
Rubendy Jaquez,(N/A),3B,FA,26,,,,,,,,,,,,,,,
Branlyn Jaraba,(N/A),1B,FA,22,,,,,,,,,,,,,,,
Jamie Jarmon,TEX,OF,FA,30,,,,,,,,,,,,,,,
Zach Jarrett,(N/A),OF,FA,30,,,,,,,,,,,,,,,
Jake Jarvis,CHW,2B,FA,30,,,,,,,,,,,,,,,
Jiim Jarvis,DET,SS,FA,24,,,,,,,,,,,,,,,
Mike Jarvis,PIT,3B,FA,26,,,,,,,,,,,,,,,
Dylan Jasso,NYY,3B,FA,22,,,,,,,,,,,,,,,
Cristian Jauregui,PIT,OF,FA,19,,,,,,,,,,,,,,,
Ismael Javier,SD,SS,FA,19,,,,,,,,,,,,,,,
Nathanael Javier,SF,"1B,3B",FA,29,,,,,,,,,,,,,,,
Wander Javier,MIN,SS,FA,26,,,,,,,,,,,,,,,
Chase Jaworsky,HOU,"2B,SS",FA,20,,,,,,,,,,,,,,,
Grant Jay,(N/A),C,FA,21,,,,,,,,,,,,,,,
Andrew Jayne,BAL,OF,FA,25,,,,,,,,,,,,,,,
Luis Jean,COL,SS,FA,30,,,,,,,,,,,,,,,
Yanki Jean-Baptiste,CLE,SS,FA,20,,,,,,,,,,,,,,,
Ronnie Jebavy,SF,OF,FA,30,,,,,,,,,,,,,,,
Mitch Jebb,PIT,"2B,SS",FA,22,,,,,,,,,,,,,,,
Manny Jefferson,ARI,"2B,SS",FA,30,,,,,,,,,,,,,,,
Lance Jeffries,STL,OF,FA,31,,,,,,,,,,,,,,,
Saige Jenco,LAD,OF,FA,30,,,,,,,,,,,,,,,
Greyson Jenista,ATL,1B,FA,28,,,,,,,,,,,,,,,
Andrew Jenkins,DET,1B,FA,24,,,,,,,,,,,,,,,
Jeremiah Jenkins,SF,1B,FA,21,,,,,,,,,,,,,,,
Walker Jenkins,MIN,OF,TBBC,20,,,,,,,,,,,,,,,
Jacob Jenkins-Cowart,MIA,OF,FA,22,,,,,,,,,,,,,,,
Carter Jensen,KC,C,FA,21,,,,,,,,,,,,,,,
Chase Jensen,SD,3B,FA,34,,,,,,,,,,,,,,,
Juan Jerez,PIT,2B,FA,23,,,,,,,,,,,,,,,
Miguel Jerez,(N/A),OF,FA,27,,,,,,,,,,,,,,,
Tommy Jew,STL,OF,FA,27,,,,,,,,,,,,,,,
Albert Jimenez,SF,SS,FA,18,,,,,,,,,,,,,,,
Anthony Jimenez,SEA,OF,FA,29,,,,,,,,,,,,,,,
Carlos Jimenez,SEA,OF,FA,22,,,,,,,,,,,,,,,
Carlos Jimenez,CHW,1B,FA,23,,,,,,,,,,,,,,,
Edgar Jimenez,NYY,2B,FA,18,,,,,,,,,,,,,,,
Emerson Jimenez,COL,SS,FA,30,,,,,,,,,,,,,,,
Enoy Cesar Arturo Jimenez,CHW,SS,FA,24,,,,,,,,,,,,,,,
Enrique Jimenez,DET,C,FA,19,,,,,,,,,,,,,,,
Frederik Jimenez,BOS,1B,FA,20,,,,,,,,,,,,,,,
Gilberto Jimenez,(N/A),OF,FA,24,,,,,,,,,,,,,,,
Hendry Jimenez,WSH,2B,FA,35,,,,,,,,,,,,,,,
Manolfi Jimenez,PHI,OF,FA,20,,,,,,,,,,,,,,,
Romy Jimenez,MIN,OF,FA,33,,,,,,,,,,,,,,,
Daniel Jipping,COL,OF,FA,28,,,,,,,,,,,,,,,
Eikel Joaquin,WSH,3B,FA,19,,,,,,,,,,,,,,,
Brayden Jobert,STL,OF,FA,24,,,,,,,,,,,,,,,
Yorfran John,CLE,SS,FA,20,,,,,,,,,,,,,,,
Ayden Johnson,ATH,SS,FA,17,,,,,,,,,,,,,,,
Ben Johnson,COL,OF,FA,30,,,,,,,,,,,,,,,
Brett Johnson,(N/A),OF,FA,25,,,,,,,,,,,,,,,
Carter Johnson,MIA,SS,FA,19,,,,,,,,,,,,,,,
Cooper Johnson,TEX,C,FA,26,,,,,,,,,,,,,,,
Dom Johnson,DET,OF,FA,23,,,,,,,,,,,,,,,
Ivan Johnson,CIN,"2B,OF",FA,26,,,,,,,,,,,,,,,
Jamie Johnson,DET,OF,FA,37,,,,,,,,,,,,,,,
Justin Johnson,KC,SS,FA,24,,,,,,,,,,,,,,,
Keon Johnson,(N/A),SS,FA,16,,,,,,,,,,,,,,,
Osiris Johnson,MIA,SS,FA,24,,,,,,,,,,,,,,,
Paris Johnson,(N/A),OF,FA,19,,,,,,,,,,,,,,,
Ryan Johnson,HOU,SS,FA,24,,,,,,,,,,,,,,,
Spencer Johnson,HOU,"1B,OF",FA,31,,,,,,,,,,,,,,,
Termarr Johnson,PIT,"2B,SS",FA,20,,,,,,,,,,,,,,,
Tyler Johnson,DET,1B,FA,25,,,,,,,,,,,,,,,
Zachary Johnson,HOU,3B,FA,36,,,,,,,,,,,,,,,
Brodie Johnston,(N/A),3B,FA,18,,,,,,,,,,,,,,,
Troy Johnston,MIA,1B,FA,27,,,,,,,,,,,,,,,
Keith Jones II,TEX,OF,FA,22,,,,,,,,,,,,,,,
Al Jones Jr.,ATH,OF,FA,28,,,,,,,,,,,,,,,
Brendan Jones,NYY,OF,FA,22,,,,,,,,,,,,,,,
Brock Jones,TB,OF,FA,23,,,,,,,,,,,,,,,
Carson Jones,SEA,OF,FA,24,,,,,,,,,,,,,,,
Colby Jones,ATL,2B,FA,21,,,,,,,,,,,,,,,
Deundre Jones,(N/A),OF,FA,21,,,,,,,,,,,,,,,
Druw Jones,ARI,OF,FA,21,,,,,,,,,,,,,,,
Jared Jones,(N/A),1B,FA,21,,,,,,,,,,,,,,,
Jayson Jones,(N/A),SS,FA,21,,,,,,,,,,,,,,,
Kennedy Jones,(N/A),OF,FA,22,,,,,,,,,,,,,,,
Kyle Jones,(N/A),OF,FA,20,,,,,,,,,,,,,,,
LJ Jones,CHW,OF,FA,25,,,,,,,,,,,,,,,
Ryder Jones,(N/A),3B,FA,30,,,,,,,,,,,,,,,
Sir Jamison Jones,WSH,C,FA,18,,,,,,,,,,,,,,,
Taylor Jones,LAA,1B,FA,31,,,,,,,,,,,,,,,
Thomas Jones,MIA,OF,FA,27,,,,,,,,,,,,,,,
Blaze Jordan,BOS,"1B,3B",FA,22,,,,,,,,,,,,,,,
Dakota Jordan,SF,OF,FA,21,,,,,,,,,,,,,,,
Dexter Jordan,HOU,2B,FA,25,,,,,,,,,,,,,,,
Kevin Jordan,NYY,OF,FA,33,,,,,,,,,,,,,,,
Levi Jordan,CIN,OF,FA,29,,,,,,,,,,,,,,,
Rowdey Jordan,NYM,OF,FA,26,,,,,,,,,,,,,,,
Carlos Jorge,CIN,OF,FA,21,,,,,,,,,,,,,,,
Dyan Jorge,COL,"2B,SS",FA,21,,,,,,,,,,,,,,,
Dominic Jose,NYY,OF,FA,31,,,,,,,,,,,,,,,
Tavian Josenberger,BAL,2B,FA,23,,,,,,,,,,,,,,,
Brayan Joseph,CIN,SS,FA,19,,,,,,,,,,,,,,,
Corban Joseph,(N/A),2B,FA,36,,,,,,,,,,,,,,,
Dawel Joseph,SEA,SS,FA,17,,,,,,,,,,,,,,,
Jean Joseph,TOR,OF,FA,20,,,,,,,,,,,,,,,
Luis Joseph,SEA,2B,FA,28,,,,,,,,,,,,,,,
Manuel Joseph,DET,SS,FA,30,,,,,,,,,,,,,,,
Tommy Joseph,(N/A),1B,FA,33,,,,,,,,,,,,,,,
Jakey Josepha,ARI,1B,FA,20,,,,,,,,,,,,,,,
Corey Joyce,DET,3B,FA,26,,,,,,,,,,,,,,,
Terrell Joyce,HOU,OF,FA,32,,,,,,,,,,,,,,,
Simon Juan,NYM,OF,FA,19,,,,,,,,,,,,,,,
Raul Juarez,CIN,3B,FA,26,,,,,,,,,,,,,,,
Matt Juengel,MIA,3B,FA,35,,,,,,,,,,,,,,,
Yoerny Junco,STL,SS,FA,20,,,,,,,,,,,,,,,
Maycol Justo,(N/A),SS,FA,22,,,,,,,,,,,,,,,
Connor Justus,(N/A),SS,FA,30,,,,,,,,,,,,,,,
Andrew Kachel,SF,2B,FA,24,,,,,,,,,,,,,,,
Kevin Kaczmarski,NYM,OF,FA,33,,,,,,,,,,,,,,,
Nick Kahle,MIL,C,FA,27,,,,,,,,,,,,,,,
Brian Kalmer,CHC,3B,FA,24,,,,,,,,,,,,,,,
Mikey Kane,CHW,1B,FA,23,,,,,,,,,,,,,,,
Baek-ho Kang,(N/A),C,FA,25,,,,,,,,,,,,,,,
Jacob Kapstein,DET,1B,FA,31,,,,,,,,,,,,,,,
Mark Karaviotis,ARI,SS,FA,29,,,,,,,,,,,,,,,
Steven Karkenny,MIL,1B,FA,31,,,,,,,,,,,,,,,
Braedon Karpathios,SD,OF,FA,21,,,,,,,,,,,,,,,
Kyle Karros,COL,3B,FA,22,,,,,,,,,,,,,,,
Josh Kasevich,TOR,SS,FA,24,,,,,,,,,,,,,,,
Gavin Kash,(N/A),1B,FA,22,,,,,,,,,,,,,,,
Wes Kath,CHW,3B,FA,22,,,,,,,,,,,,,,,
Kobe Kato,ATL,2B,FA,25,,,,,,,,,,,,,,,
Branden Kaupe,NYM,SS,FA,30,,,,,,,,,,,,,,,
Grant Kay,(N/A),2B,FA,31,,,,,,,,,,,,,,,
Nick Kaye,TEX,OF,FA,28,,,,,,,,,,,,,,,
C.J. Kayfus,CLE,"1B,OF",FA,23,,,,,,,,,,,,,,,
Aiden Kearney,(N/A),3B,FA,15,,,,,,,,,,,,,,,
Luke Keaschall,MIN,2B,FA,22,,,,,,,,,,,,,,,
Cody Keefer,MIA,OF,FA,34,,,,,,,,,,,,,,,
Dominic Keegan,TB,C,FA,24,,,,,,,,,,,,,,,
Aidan Keenan,(N/A),SS,FA,19,,,,,,,,,,,,,,,
Tyler Keenan,TOR,3B,FA,26,,,,,,,,,,,,,,,
Damon Keith,LAD,OF,FA,24,,,,,,,,,,,,,,,
Christian Kelley,(N/A),C,FA,31,,,,,,,,,,,,,,,
Fernando Kelli,CHC,OF,FA,26,,,,,,,,,,,,,,,
Dalton Kelly,ATH,1B,FA,30,,,,,,,,,,,,,,,
Jairo Kelly,CLE,SS,FA,32,,,,,,,,,,,,,,,
Juan Kelly,TOR,1B,FA,30,,,,,,,,,,,,,,,
Kenny Kelly,CHW,OF,FA,0,,,,,,,,,,,,,,,
Parker Kelly,COL,3B,FA,25,,,,,,,,,,,,,,,
Pat Kelly,MIN,2B,FA,32,,,,,,,,,,,,,,,
Blake Kelso,WSH,3B,FA,35,,,,,,,,,,,,,,,
Jon Kemmer,HOU,OF,FA,34,,,,,,,,,,,,,,,
Tony Kemp,(N/A),2B,FA,33,,,,,,,,,,,,,,,
Trenton Kemp,BOS,OF,FA,29,,,,,,,,,,,,,,,
Jacob Kendall,(N/A),SS,FA,18,,,,,,,,,,,,,,,
Kevin Kendall,(N/A),"2B,OF",FA,3,,,,,,,,,,,,,,,
Caden Kendle,MIN,OF,FA,22,,,,,,,,,,,,,,,
Jack Kenley,(N/A),"2B,SS",FA,27,,,,,,,,,,,,,,,
Eric Kennedy,(N/A),OF,FA,25,,,,,,,,,,,,,,,
Nic Kent,COL,"2B,3B,SS",FA,24,,,,,,,,,,,,,,,
Kane Kepley,(N/A),OF,FA,21,,,,,,,,,,,,,,,
Kade Kern,ATL,OF,FA,23,,,,,,,,,,,,,,,
Caleb Ketchup,LAA,"2B,OF",FA,23,,,,,,,,,,,,,,,
Kevin Keyes,WSH,OF,FA,35,,,,,,,,,,,,,,,
Brent Keys,MIA,OF,FA,34,,,,,,,,,,,,,,,
Sean Keys,TOR,3B,FA,21,,,,,,,,,,,,,,,
Carter Kieboom,LAA,3B,FA,27,,,,,,,,,,,,,,,
Terrence Kiel II,(N/A),OF,FA,19,,,,,,,,,,,,,,,
Bobby Kielty,SD,OF,FA,0,,,,,,,,,,,,,,,
Ryosuke Kikuchi,(N/A),2B,FA,34,,,,,,,,,,,,,,,
Gavin Kilen,(N/A),SS,FA,20,,,,,,,,,,,,,,,
Kevin Kilpatrick Jr.,ATL,OF,FA,24,,,,,,,,,,,,,,,
Do Yeong Kim,(N/A),3B,FA,21,,,,,,,,,,,,,,,
Jayden Kim,PIT,SS,FA,18,,,,,,,,,,,,,,,
Ju Won Kim,(N/A),SS,FA,22,,,,,,,,,,,,,,,
Min Suk Kim,(N/A),OF,FA,20,,,,,,,,,,,,,,,
Jared King,NYM,OF,FA,33,,,,,,,,,,,,,,,
Jason King,DET,3B,FA,35,,,,,,,,,,,,,,,
Jose King,DET,SS,FA,26,,,,,,,,,,,,,,,
Lamar King,SD,UT,FA,21,,,,,,,,,,,,,,,
Seaver King,WSH,SS,FA,21,,,,,,,,,,,,,,,
Will King,ATL,C,FA,21,,,,,,,,,,,,,,,
Brett Kinneman,PIT,OF,FA,28,,,,,,,,,,,,,,,
Cooper Kinney,TB,2B,FA,22,,,,,,,,,,,,,,,
Jason Kipnis,(N/A),2B,FA,37,,,,,,,,,,,,,,,
Ryan Kirby,SF,1B,FA,30,,,,,,,,,,,,,,,
Zach Kirtley,STL,2B,FA,28,,,,,,,,,,,,,,,
Tanner Kirwer,TOR,OF,FA,28,,,,,,,,,,,,,,,
Kale Kiser,CHW,OF,FA,34,,,,,,,,,,,,,,,
Ross Kivett,DET,"2B,OF",FA,33,,,,,,,,,,,,,,,
Patrick Kivlehan,(N/A),OF,FA,35,,,,,,,,,,,,,,,
Kotaro Kiyomiya,(N/A),1B,FA,25,,,,,,,,,,,,,,,
Blake Klassen,WSH,1B,FA,24,,,,,,,,,,,,,,,
Barrett Kleinknecht,ATL,SS,FA,36,,,,,,,,,,,,,,,
Paxton Kling,(N/A),"SS,OF",FA,21,,,,,,,,,,,,,,,
Christian Knapczyk,CLE,"2B,SS",FA,23,,,,,,,,,,,,,,,
Marcus Knecht,TOR,OF,FA,34,,,,,,,,,,,,,,,
Bill Knight,SEA,OF,FA,25,,,,,,,,,,,,,,,
Malakhi Knight,(N/A),OF,FA,22,,,,,,,,,,,,,,,
Grant Knipp,SEA,C,FA,23,,,,,,,,,,,,,,,
D'Shawn Knowles,(N/A),OF,FA,24,,,,,,,,,,,,,,,
Ching-Hsien Ko,LAD,UT,FA,18,,,,,,,,,,,,,,,
Grant Koch,(N/A),C,FA,28,,,,,,,,,,,,,,,
Sam Koenig,LAA,1B,FA,32,,,,,,,,,,,,,,,
Taylor Kohlwey,(N/A),OF,FA,30,,,,,,,,,,,,,,,
Zach Kokoska,COL,1B,FA,26,,,,,,,,,,,,,,,
Connor Kokx,CLE,OF,FA,25,,,,,,,,,,,,,,,
Aldalay Kolokie,COL,OF,FA,20,,,,,,,,,,,,,,,
Mark Kolozsvary,BOS,C,FA,29,,,,,,,,,,,,,,,
Erik Komatsu,MIL,OF,FA,37,,,,,,,,,,,,,,,
Edward Koncel,TEX,SS,FA,36,,,,,,,,,,,,,,,
Zack Kone,(N/A),SS,FA,28,,,,,,,,,,,,,,,
Connor Kopach,SEA,"2B,SS",FA,30,,,,,,,,,,,,,,,
Addison Kopack,SD,1B,FA,23,,,,,,,,,,,,,,,
Christian Koss,SF,SS,FA,27,,,,,,,,,,,,,,,
Dakota Kotowski,(N/A),1B,FA,24,,,,,,,,,,,,,,,
Alex Kowalczyk,TEX,C,FA,31,,,,,,,,,,,,,,,
Cam Kozeal,(N/A),SS,FA,20,,,,,,,,,,,,,,,
Pete Kozma,(N/A),3B,FA,36,,,,,,,,,,,,,,,
Kade Kretzschmar,STL,OF,FA,24,,,,,,,,,,,,,,,
Tyler Krieger,ATL,2B,FA,31,,,,,,,,,,,,,,,
Ryan Krill,NYY,1B,FA,31,,,,,,,,,,,,,,,
Jason Krizan,SF,OF,FA,35,,,,,,,,,,,,,,,
Chase Krogman,CHW,OF,FA,24,,,,,,,,,,,,,,,
Matt Kroon,PHI,OF,FA,28,,,,,,,,,,,,,,,
Josh Kross,STL,1B,FA,22,,,,,,,,,,,,,,,
Collin Kuhn,CHW,OF,FA,36,,,,,,,,,,,,,,,
Sam Kulasingam,TOR,1B,FA,23,,,,,,,,,,,,,,,
Tyler Kuresa,MIN,1B,FA,32,,,,,,,,,,,,,,,
Cade Kurland,(N/A),SS,FA,21,,,,,,,,,,,,,,,
Joshua Kuroda-Grauer,ATH,SS,FA,22,,,,,,,,,,,,,,,
Michael Kvasnicka,HOU,OF,FA,36,,,,,,,,,,,,,,,
Kwang-Min Kwon,CHC,OF,FA,27,,,,,,,,,,,,,,,
Freddy La Flor,MIN,SS,FA,20,,,,,,,,,,,,,,,
Luis Yander La O,(N/A),3B,FA,33,,,,,,,,,,,,,,,
John La Prise,TOR,2B,FA,31,,,,,,,,,,,,,,,
Tommy La Stella,(N/A),UT,FA,36,,,,,,,,,,,,,,,
Franklin Labour,SF,OF,FA,26,,,,,,,,,,,,,,,
Yeniel Laboy,ATH,3B,FA,20,,,,,,,,,,,,,,,
Victor Labrada,SEA,OF,FA,25,,,,,,,,,,,,,,,
Luis Lacen,SF,OF,FA,28,,,,,,,,,,,,,,,
Kevin Lachance,LAD,SS,FA,30,,,,,,,,,,,,,,,
Jonathan Lacroix,HOU,OF,FA,28,,,,,,,,,,,,,,,
Sherman Lacrus,TEX,OF,FA,31,,,,,,,,,,,,,,,
Devante Lacy,STL,OF,FA,30,,,,,,,,,,,,,,,
Frandy Lafond,MIL,OF,FA,18,,,,,,,,,,,,,,,
Juan Lagares,(N/A),OF,FA,35,,,,,,,,,,,,,,,
Jesus Lage,(N/A),SS,FA,27,,,,,,,,,,,,,,,
Wagner Lagrange,(N/A),OF,FA,29,,,,,,,,,,,,,,,
Ryan LaMarre,(N/A),OF,FA,36,,,,,,,,,,,,,,,
Luis Lameda,MIL,3B,FA,19,,,,,,,,,,,,,,,
Joe Lampe,CLE,OF,FA,24,,,,,,,,,,,,,,,
Ramon Landaeta,ATH,C,FA,18,,,,,,,,,,,,,,,
Jorvorskie Lane Jr.,(N/A),C,FA,16,,,,,,,,,,,,,,,
Carmine Lane,(N/A),C,FA,23,,,,,,,,,,,,,,,
Brett Langhorne,ATL,3B,FA,28,,,,,,,,,,,,,,,
Austin Langworthy,(N/A),OF,FA,27,,,,,,,,,,,,,,,
Cole Lankford,STL,3B,FA,32,,,,,,,,,,,,,,,
Andriel Lantigua,COL,C,FA,21,,,,,,,,,,,,,,,
Arnaldo Lantigua,CIN,OF,FA,19,,,,,,,,,,,,,,,
Danny Lantigua,(N/A),OF,FA,25,,,,,,,,,,,,,,,
Edinson Lantigua,PIT,OF,FA,28,,,,,,,,,,,,,,,
Edward Lantigua,NYM,OF,FA,18,,,,,,,,,,,,,,,
Jonas Lantigua,SD,1B,FA,30,,,,,,,,,,,,,,,
Rafael Lantigua,PHI,"2B,SS,OF",FA,26,,,,,,,,,,,,,,,
Robert Lantigua,ARI,C,FA,17,,,,,,,,,,,,,,,
Chris Lanzilli,CHW,OF,FA,26,,,,,,,,,,,,,,,
Armando Lao,DET,C,FA,18,,,,,,,,,,,,,,,
Erick Lara,TB,SS,FA,18,,,,,,,,,,,,,,,
Gabriel Lara,NYY,OF,FA,19,,,,,,,,,,,,,,,
Garvis Lara,MIA,SS,FA,28,,,,,,,,,,,,,,,
Gilbert Lara,WSH,SS,FA,27,,,,,,,,,,,,,,,
Jesus Lara,CLE,2B,FA,22,,,,,,,,,,,,,,,
Jordy Lara,SEA,"1B,3B",FA,33,,,,,,,,,,,,,,,
Jorge Lara,ARI,SS,FA,19,,,,,,,,,,,,,,,
Junior Lara,(N/A),OF,FA,21,,,,,,,,,,,,,,,
Luis Lara,ARI,3B,FA,29,,,,,,,,,,,,,,,
Luis Lara,MIL,OF,FA,20,,,,,,,,,,,,,,,
Wilfredo Lara,MIA,"2B,SS",FA,20,,,,,,,,,,,,,,,
Christopher Larez,NYM,SS,FA,19,,,,,,,,,,,,,,,
Cullen Large,TOR,2B,FA,29,,,,,,,,,,,,,,,
Jack Larsen,(N/A),OF,FA,30,,,,,,,,,,,,,,,
Ashton Larson,(N/A),OF,FA,20,,,,,,,,,,,,,,,
Zach Larson,MIN,OF,FA,31,,,,,,,,,,,,,,,
Nate LaRue,TOR,C,FA,23,,,,,,,,,,,,,,,
Ryan Lasko,ATH,OF,FA,22,,,,,,,,,,,,,,,
Roger Lasso,LAD,OF,FA,0,,,,,,,,,,,,,,,
Quincy Latimore,(N/A),OF,FA,36,,,,,,,,,,,,,,,
Johnabiell Laureano,(N/A),OF,FA,24,,,,,,,,,,,,,,,
Lorenzo Laurel,(N/A),3B,FA,17,,,,,,,,,,,,,,,
Bryan Lavastida,HOU,C,FA,26,,,,,,,,,,,,,,,
Dario Laverde,LAA,C,FA,20,,,,,,,,,,,,,,,
Justin Lavey,SEA,"2B,3B",FA,27,,,,,,,,,,,,,,,
Grant Lavigne,(N/A),1B,FA,25,,,,,,,,,,,,,,,
Jace LaViolette,(N/A),OF,FA,21,,,,,,,,,,,,,,,
Tre' Lawrence,(N/A),OF,FA,14,,,,,,,,,,,,,,,
Brendan Lawson,(N/A),SS,FA,19,,,,,,,,,,,,,,,
Cortland Lawson,WSH,SS,FA,24,,,,,,,,,,,,,,,
Derwin Laya,SF,3B,FA,21,,,,,,,,,,,,,,,
Francisco Laya,TEX,OF,FA,21,,,,,,,,,,,,,,,
Yojackson Laya,LAD,SS,FA,18,,,,,,,,,,,,,,,
Abdiel Layer,MIL,SS,FA,26,,,,,,,,,,,,,,,
Jose Layer,SF,OF,FA,27,,,,,,,,,,,,,,,
DJ Layton,BAL,SS,FA,18,,,,,,,,,,,,,,,
Victor Leal,MIN,C,FA,18,,,,,,,,,,,,,,,
Cameron Leary,ATH,OF,FA,23,,,,,,,,,,,,,,,
Jason Leblebijian,TOR,SS,FA,33,,,,,,,,,,,,,,,
Ariel Lebron,HOU,OF,FA,19,,,,,,,,,,,,,,,
Cristofer Lebron,STL,SS,FA,17,,,,,,,,,,,,,,,
Justin Lebron,(N/A),SS,FA,20,,,,,,,,,,,,,,,
Rubel Lebron,PIT,SS,FA,21,,,,,,,,,,,,,,,
Colton Ledbetter,TB,OF,FA,23,,,,,,,,,,,,,,,
Bairon Ledesma,COL,SS,FA,19,,,,,,,,,,,,,,,
Darren Ledford,(N/A),C,FA,18,,,,,,,,,,,,,,,
Marcus Lee Sang,PHI,OF,FA,24,,,,,,,,,,,,,,,
Bennett Lee,DET,C,FA,22,,,,,,,,,,,,,,,
Braxton Lee,(N/A),OF,FA,31,,,,,,,,,,,,,,,
Hak-Ju Lee,TB,SS,FA,34,,,,,,,,,,,,,,,
Hao-Yu Lee,DET,2B,FA,22,,,,,,,,,,,,,,,
Hyun Seung Lee,PIT,SS,W (Fri),17,,,,,,,,,,,,,,,
Khalil Lee,(N/A),OF,FA,26,,,,,,,,,,,,,,,
Patrick Lee,DET,OF,FA,25,,,,,,,,,,,,,,,
Travis Lee,(N/A),1B,FA,0,,,,,,,,,,,,,,,
Ethan Lege,PIT,3B,FA,23,,,,,,,,,,,,,,,
Qyshawn Legito,CIN,C,FA,19,,,,,,,,,,,,,,,
Ryan Leitch,PHI,C,FA,23,,,,,,,,,,,,,,,
Marcus Lemon,TEX,SS,FA,36,,,,,,,,,,,,,,,
Kleimir Lemos,TEX,"1B,3B",FA,19,,,,,,,,,,,,,,,
Yorlis Lendor,(N/A),OF,FA,21,,,,,,,,,,,,,,,
David Leon,CLE,C,FA,21,,,,,,,,,,,,,,,
Luis Leon,TB,SS,FA,26,,,,,,,,,,,,,,,
Luis Leon,MIA,SS,FA,18,,,,,,,,,,,,,,,
Santiago Leon,MIN,SS,FA,16,,,,,,,,,,,,,,,
Patrick Leonard,TB,"3B,SS",FA,32,,,,,,,,,,,,,,,
Iverson Leonardo,(N/A),OF,FA,23,,,,,,,,,,,,,,,
Justin Leone,TEX,3B,FA,0,,,,,,,,,,,,,,,
Oswel Leones,MIL,OF,FA,24,,,,,,,,,,,,,,,
Cole Leonida,WSH,C,FA,36,,,,,,,,,,,,,,,
Ray Leonzi,(N/A),OF,FA,22,,,,,,,,,,,,,,,
Josh Lester,(N/A),"1B,3B",FA,30,,,,,,,,,,,,,,,
Luke Leto,(N/A),SS,FA,22,,,,,,,,,,,,,,,
Jhonny Level,SF,SS,FA,17,,,,,,,,,,,,,,,
Zach Levenson,STL,OF,FA,22,,,,,,,,,,,,,,,
Tatem Levins,TB,C,FA,25,,,,,,,,,,,,,,,
AJ Lewis,COL,C,FA,26,,,,,,,,,,,,,,,
Brandon Lewis,(N/A),1B,FA,26,,,,,,,,,,,,,,,
Dillon Lewis,NYY,OF,FA,21,,,,,,,,,,,,,,,
Ian Lewis,MIA,SS,FA,22,,,,,,,,,,,,,,,
Kade Lewis,(N/A),1B,FA,19,,,,,,,,,,,,,,,
Kyle Lewis,(N/A),OF,FA,29,,,,,,,,,,,,,,,
Nadir Lewis,SF,OF,FA,24,,,,,,,,,,,,,,,
